,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response,Explanation,Knowledge Area,,,,,,,,,,,,,,,
Which artifact contains a plan for realizing the Sprint Goal?,multiple-choice,None,Sprint Backlog,Product Backlog,Gantt Chart,Product Vision,,2,The Sprint Backlog is the set of items selected from the Product Backlog and a number of tasks required for developing them and realizing the Sprint Goal.,Scrum Events,,,,,,,,,,,,,,,
What happens to the Product Backlog when the end users' environment and needs change in the middle of the project?,multiple-choice,"There's no effect. If the changes are extreme, the project should be cancelled and a new one started with a new Product Backlog.",It evolves to reflect the changes,"It will be archived, and a new Product Backlog would replace it","The requirement specification document should change accordingly, followed by the Product Backlog.",,,2,"The Product Backlog is a dynamic concept that is not completely composed in the beginning of the project (or any other time) and is never made static by baselining. The Product Backlog always changes to reflect the feedback from the customer, end users, market and their environment. It's fair to say that the whole framework is designed in a way that enables such a responsive Product Backlog.",Scrum Artifacts,,,,,,,,,,,,,,,
Which item is NOT an attribute of the Product Backlog?,multiple-choice,Estimate,Description,Value,Owner,,,4,"Each Product Backlog has a description, a business value used for ordering and an estimate for the amount of effort.",Scrum Artifacts,,,,,,,,,,,,,,,
The Scrum Master shouldn't allow the Development Team start developing without having the tasks identified and assigned.,multiple-choice,TRUE,FALSE,,,,,2,There are two problems in this statement:(a) The Scrum Master doesn't manage the team and cannot forbid team members from doing something and cannot order them to do certain things. (b) The Development Team identify the tasks and assign them gradually throughout the Sprint. We don't do it upfront in the beginning of the Sprint.,The Scrum Team,,,,,,,,,,,,,,,
Scrum mandates the use of burn-down charts.,multiple-choice,TRUE,FALSE,,,,,2,It's common and recommended to use burn-down charts but they are not mandatory.,Scrum Artifacts,,,,,,,,,,,,,,,
How can a Scrum Master help multiple teams keep their output aligned in a single product?,multiple-choice,Teach the Product Owner to collaborate with lead developers on aligning the effort.,Teach them that it's their responsibility to work with the other teams to create aligned outputs and an integrated Increment.,"Collect Sprint Backlog tasks of all teams, make them consistent, and return them to team to work on",Visit Daily Scrums and ensure that team activities are aligned,,,2,The answer should be compatible with the self-organization concept; the Scrum Master or the Product Owner is not supposed to do anything directly in this regard; it's on the responsibility of the Development Team(s) to find their way.,The Scrum Team,,,,,,,,,,,,,,,
Which of the following is done in the first Sprint?,multiple-choice,Planning the project,Developing the product vision,Completing the reference architecture,Creating a shippable piece of functionality,,,4,There's no difference between the first Sprint and the next ones. The main purpose is creating Increments.,Scrum Events,,,,,,,,,,,,,,,
"Which statement is least accurate about the definition of ""Done""?",multiple-choice,It's created by the Product Owner,"There can be more than one definition of ""Done"" when multiple teams are working on the same product.",It may be defined by the development organization,,,,1,"The definition of ""Done"" can be prepared in the development organization and used in all projects as a minimum. If additional content is required for the definition or it's not prepared in the organization level, the Development Team would be responsible for preparing it. The definition of ""Done"" can evolve during the project as more is learned. It's also dependent on the project and its environment. Multiple teams can have different definitions of ""Done"", as long as they are compatible and capable of creating an integrated Increment at the end of the Sprint.",Artifact Transparency,,,,,,,,,,,,,,,
Which two statements are right about technical debt?,multi-select,"When measured properly, the Product Owner can estimate when the product is ready for release",The Development Team should not start working on a new item unless they remove all existing technical debt,"It creates uncertainty, because when more code is added, more problems will occur and the development slows down",It creates false assumptions about the current state of the system; e.g. it might not be really releasable.,,,"3,4","Technical debt is the consequence of poor system design and architecture which can happen when they are done gradually in an adaptive environment. The Development Team should be careful with it and repay it with continuous refactoring. Refactoring is improving the code without changing the external behavior. If the technical debt keeps increasing because the team doesn't refactor, development will become harder day after day and it will slow down the progress on one hand and create problems for releases on the other hand.",Scrum Artifacts,,,,,,,,,,,,,,,
Hardening Sprints are helpful for defect management and integration.,multiple-choice,TRUE,FALSE,,,,,2,"There's no hardening Sprints in Scrum. All Sprints are the same and create Increments. ""Hardening"" is done during all Sprints.",Scrum Events,,,,,,,,,,,,,,,
