,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response,Explanation,Knowledge Area
How is management external to the Scrum team involved in the Daily Scrum?,multiple-choice,The Product Owner represents their opinions,There's no such involvement,The Scrum Master represents them,Management can be present at the meeting and open it with their updates or opinions,,,2,The Daily Scrum is only for the Development Team. Others can attend but they won't participate.,Scrum Events
What should the Product Owner do during the Sprint Retrospective?,multiple-choice,Capture the Development Team's answers,Participate as a Scrum Team member,Prioritize the outputs of the meeting,Summarize and report the results to the senior management,,,2,The whole Scrum Team should participate in the Sprint Retrospective to find an improvement to be applied in the next Sprint; including the Product Owner.,Scrum Events
What's the main responsibility of testers?,multiple-choice,Verifying the programmers output,Proactively verify the programmers output,Help the team incorporate the test driven development practice,Find bugs,There's no tester role in Scrum,,5,"There are only three roles in Scrum: Product Owner, Scrum Master and Development Team. It's not allowed to define new roles and the Development Team members should not have any titles; they are all ""developers"". It is so, because we want all of them to be accountable for everything and to collaborate with each other.
Each person has his/her own area of expertise, such as testing, and that person will be more focused on testing tasks but it doesn't mean that we can call the person ""tester"".",The Scrum Team
It is OK for the items at the bottom of the Product Backlog to have less detail compared to those that the top.,multiple-choice,TRUE,FALSE,,,,,1,"Items on the bottom of the Product Backlog won't be developed soon, therefore, we don't need to spend too much time on them. Otherwise, it would be a form of upfront planning.",Scrum Artifacts
Product Backlog refinement is the act of ... to the items in the Product Backlog.,multiple-choice,"Adding detail, estimates and order",Adding detail and estimates,Adding estimates and order,Adding detail and order,,,1,"Product Backlog refinement is defined in the Scrum Guide as the act of adding detail, estimates and order to the Product Backlog items.

Remember that Product Backlog refinement is an ongoing activity and is not timeboxed. The rule is that it shouldn't take more than 10% of the developers' time.",Scrum Artifacts
Who should know the most about the project performance?,multiple-choice,The Product Owner,The Scrum Master,The Scrum Team,The project manager,The Development Team,,1,Measuring the release or project performance is the Product Owner's responsibility. Measuring the Sprint performance is the Development Team's responsibility.,Scrum Artifacts
It's better to have longer Sprints when the project is riskier.,multiple-choice,TRUE,FALSE,,,,,2,"When Sprints are shorter, there are more opportunities for demonstration, receiving feedback and adaptation. So, when risks are higher, it's better to have shorter Sprints (if possible).",Scrum Events
"If the customer wants a new feature to be added to the current Sprint, how should the Development Team respond?",multiple-choice,Ask the Product Owner to work with the customer,Add the item to the bottom of the Sprint Backlog,Reject the request,Add the item to the Product Backlog,Swap the item with one of the items in the Sprint Backlog,,1,"Such a request would be rejected because we don't add or remove the items in the Sprint Backlog (while we always add and remove tasks). However, this is up to the Product Owner to reject this request, rather than the developers. So, they should just refer the customer to the Product Owner. In very special cases, the new feature might be so special and the project environment so influenced that the introduction of the new feature makes the current Sprint Goal invalid and therefore the Product Owner will cancel the Sprint. Remember, this doesn't happen often.",The Scrum Team
The Development Team is free to change its engineering practices whenever they want.,multiple-choice,TRUE,FALSE,,,,,1,"The Development Team is self-organized and cross-functional; they have to decide how best to handle their development and this decision can evolve during the project as more is learned about the needs.

This is about their development and doesn't have to be constrained by the Sprints. The elements that shouldn't be changed during the Sprint are those required for keeping them focused on their development.",The Scrum Team
An organization has decided to adopt Scrum. What happens if they tailor the Scrum terminology to match their current environment? (Choose 3 answers),multi-select,Management may feel less enthusiastic about the change,The change might not be obvious to everyone and some benefits may be lost,They will get better results adopting Scrum this way,The change might not be obvious to everyone and therefore very little change actually happen,,,"1,2,4","Scrum is a framework rather than a methodology. It's very lightweight and only contains the essential required aspects. Therefore, it shouldn't be tailored like methodologies (eg PRINCE2).",Scrum Theory
The Product Owner can transfer some of his/her accountability to the developers.,multiple-choice,TRUE,FALSE,,,,,2,The Product Owner can delegate his/her responsibilities to the development team but he/she stays accountable.,The Scrum Team
When should the Product Backlog items be refined? (Choose 2 answers),multi-select,In one or two preceding Sprints,In the time between the two Sprints,"During the Sprint, if they have not been refined in the previous Sprints",In Sprint 0,,,"1,3","Product Backlog refinement is a continuous activity. When an item is at the top of the backlog, which means it will be developed in the near future, more refinements are usually needed to make sure it is clear and contains just enough details (not all possible details).
It's preferred to have the items that will be selected in the Sprint Backlog completely refined before Sprint Planning; however, it's OK to have more refinement done during the development.
Remember that there's no such thing as Sprint 0 and there's no time between two Sprints that can be spent on something such as refinement. The team is also cross-functional and does the a-z of the work needed for each item, including refinement; they don't use people from other parts of the company.",Scrum Artifacts
Which role is the equivalent of project manager in Scrum?,multiple-choice,The Product Owner,The team leader(s),None,The Development Team,The Scrum Master,,3,The project management activities are distributed among all three roles.,The Scrum Team
"What are the benefits of having tests in the definition of ""Done""? (Choose 3 answers)",multi-select,Increments would be more complete,Increments would be closer to being potentially shippable,Increased transparency of the Increments,Reporting would be easier for the project manager,,,"1,2,3","Items are not really done unless we have tested them; so, tests should be included in the definition of ""Done"". In this case, the Increments will be closer to what we can practically call ""complete"", ""done"", ""potentially releasable"", or ""potentially shippable""; to something useable for the users.

Increments should be potentially releasable; for starters, because it makes it easier for the customer to try it and give feedback. The feedback enables adaptation, which is essential to Agile.

Having an effective definition of ""Done"" increases transparency because everyone will know what we mean when we say an items is done.",Artifact Transparency
What's the vertical axis in a typical burn-down chart?,multiple-choice,The amount of remaining work,The progress,The technical debt,The capacity of the team,,,1,"The horizontal axis is time, the vertical axis is the remaining amount of work and the trend line shows the forecasted finish date if the Product Backlog and the team capacity stay the same.",Scrum Events
Which statement can be considered an Increment?,multiple-choice,A few new features in a usable state that are added to those delivered in the previous Sprints,A user interface layout design for the software,A UML diagram that describes the functionalities in the future Sprints,A decomposition of Product Backlog items into tasks that will be used in the future Sprints,,,1,"Increments are a set of done Product Backlog items. All items should be non-technical and independent.
The user interface design evolves throughout the project, as with the database architecture and other similar things. They are all part of functional features rather than separate ones.",Scrum Artifacts
How should a Product Backlog item be refined when it is located at the top? (Choose 2 answers),multi-select,All the tasks required for completing it should be identified,"In a way that it can be ""Done"" in the timeboxed duration of one Sprint",In a way that it's clear enough for the developers,It should be clear which developer is responsible for it,,,"2,3","Items at the top of the Product Backlog should be small enough to fit in one Sprint. They should also be clear and detailed enough; but not too detailed (eg not with all tasks need to be identified) as it would be upfront planning. Tasks are created gradually during the Sprint.
Product Backlog items require multiple expertise and usually done by multiple developers. Therefore, they are not assigned. Tasks, however, are assigned to the individual developers, while everyone stays accountable.",Scrum Artifacts
Which of the following are ways for the stakeholders to interact with the Development Team? (Choose 2 answers),multi-select,At the Sprint Retrospective,Via the Product Owner,At the Sprint Review,At the Sprint Planning,"Directly, during the Sprint",At the Daily Scrums,"2,3",We don't want the team to be distracted; they need to stay focused and productive. That's why their direct interactions with the customer is limited to the Sprint Review or via the Product Owner.,The Scrum Team
When's a new Increment of working software must be available?,multiple-choice,Every 3 Sprints,When the Product Owner asks for it,At the end of each Sprint,Before each planned release,Whenever the user acceptance testing is done,,3,"An Increment of ""Done"" working software, which is potentially releasable, must be produced at the end of each Sprint.",Scrum Artifacts
Which Scrum event is for process improvement?,multiple-choice,Sprint Retrospective,Daily Scrum,Sprint Planning,Sprint Review,,,1,We value individuals and interactions over processes and tools but it doesn't mean that we ignore the need for processes. Scrum provides a process (way of working) which should be continuously improved by Sprint Retrospective and in other opportunities.,Scrum Events
There should be frequent integration Sprints to integrate the solution.,multiple-choice,TRUE,FALSE,,,,,2,There's no integration Sprint in Scrum. All Sprints are the same and create increments. Integration is done during all Sprints.,Scrum Events
The Product Owner is responsible for both maximizing the value of the product and the value of the work of the Development Team.,multiple-choice,TRUE,FALSE,,,,,1,"The value of the work of the team is nothing but the value they create through the product. This is how the section on Product Owner is opened in the Scrum Guide: The Product Owner is responsible for maximizing the value of the product and the work of the Development Team. How this is done may vary widely across organizations, Scrum Teams and individuals.",The Scrum Team
When is a Sprint Backlog item considered complete?,multiple-choice,When all of its tasks are complete,When the Sprint is over,"When everything is done based on the definition of ""Done""",When the user acceptance tests are done,,,3,"When the item is complete based on the definition of ""Done"", the end users can use it and it creates an Increment of working software which is potentially releasable.

Note: if all the tasks for an item are complete, it doesn't necessarily mean that the item is complete because we might have forgotten to add some of the tasks.",Artifact Transparency
Which statement best describes the Sprint Backlog?,multiple-choice,Each of its items has been estimated in hours,It's the Development Team's plan for the Sprint,It's composed by the Product Owner,Each of its items are assigned to a team member,,,2,"The Sprint Backlog is created during the Sprint Planning and includes the items selected from the Product Backlog (by the Development Team) and the tasks created by decomposing the items (by the Development Team).
Developers keep adding tasks during the Sprint, so the Sprint Backlog updates. It's the Development Team's plan for the current Sprint. This plan is not detailed upfront.
If the Development Team cannot deliver some of the items, they will go back to the Product Backlog and will be ordered again; they do not go to the next Sprint automatically.
Each task is assigned to one developer or a pair of developers but the ownership is still shared. Items are not assigned or owned by specific developers, all of them share accountability.",Scrum Artifacts
When is a Sprint cancelled?,multiple-choice,When a key developer cannot work for awhile,When the Sprint Goal doesn't make sense anymore,When all Sprint Backlog items won't be finished until the end of the Sprint,"When the definition of ""Done"" is met",,,2,Sprints are cancelled by the Product Owner only because they don't make sense anymore or become obsolete. It's mainly about the Sprint Goal.,Scrum Events
Which of the following is not a role in Scrum?,multiple-choice,Product manager,Scrum Master,Development Team,Product Owner,,,1,"There are only three roles in Scrum: Scrum Master, Product Owner and Development Team. Other roles or titles are not recognized.",The Scrum Team
The Scrum Master is a management role.,multiple-choice,TRUE,FALSE,,,,,1,The Scrum Master is a management role but for the process rather than for the people.,The Scrum Team
Which of the following is the LEAST productive way for the Scrum Master to improve the Development Team's communications with the Product Owner?,multiple-choice,Act as a go-between for them,Teach them how to effectively communicate,Monitor their communication performance,Suggest effective communication tools and techniques to the Product Owner,,,1,Acting as a go-between weakens the team and blocks their self-organization. The Scrum Master is supposed to teach and coach.,The Scrum Team
Each Development Team member should be cross-functional.,multiple-choice,TRUE,FALSE,,,,,2,"The Development Team as a whole is cross-functional, which means the sum of all developers with their different expertise. It doesn't mean that we need to have cross-functional individuals or ""Development Team members"".
Each individual is an expert in one or more technical layer or aspect of the project and the team they create is cross-functional (having all the expertise required to get the job done, without any need for external resources).",The Scrum Team
Who supports the Scrum Master in removing impediments? (Choose 2 answers),multi-select,The customer,The senior management,The Product Owner,The Development Team,,,"2,4",The Development Team can help the Scrum Master because of their understanding of how the work is done. Some impediments are rooted in external causes and that's why the Scrum Master might need to have the senior management's support in removing them.,The Scrum Team
Why is Daily Scrum at the same time and same place?,multiple-choice,Because the place can be named,Because the Product Owner requires it,To reduce complexity and increase simplicity,To make it easier to book the rooms,,,3,"It's not wise to spend some time everyday scheduling the next Daily Scrum when the meeting itself is only 15 minutes.
We usually expect to have a common place for the team and have them collocated. The meeting will be held in the same common place (ie in front of the Scrum board); we don't book a meeting room for it.",Scrum Events
When should Increments be shipped?,multiple-choice,When the Increment is free of defects,When it makes sense,After each Sprint,When the Increment is shippable,,,2,All Increments should be potentially releasable (shippable) but we don't have to release all of them. It depends on the project environment and the customer and the Product Owner is supposed to decide on it.,Scrum Artifacts
The Product Owner should use burn-down charts to track progress.,multiple-choice,TRUE,FALSE,,,,,2,Burn-down charts are very common for tracking and representing progress but they are not mandatory and the Product Owner can use other tools/techniques as well.,The Scrum Team
Which statements are correct about a Sprint Backlog item that was not finished by the end of the Sprint? (Choose 2 answers),multi-select,It will be moved back to the Product Backlog,It won't be demonstrated at the Sprint Review meeting,The Sprint will be extended until the item is done,It will be demonstrated to the stakeholders but pointed out that it's not complete yet,It will be completed in the next Sprint,,"1,2","Only the 100% complete items are demonstrated to avoid confusion. When something is not complete, it will be moved back to the Product Backlog. If it's still on the top of the Product Backlog, development will continue in the next Sprint.",Scrum Events
The Product Owner does not have to be one person and the role can be played by a committee.,multiple-choice,TRUE,FALSE,,,,,2,"It's possible to have a committee responsible for product ownership but on a representative of that committee would be called the Product Owner.

There's always one Product Owner for a product, even if there are multiple teams.",The Scrum Team
What are the common outcomes of Daily Scrums? (Choose 2 answers),multi-select,Everyone is clear on the next steps towards the Sprint Goal,The Product Owner is informed of the progress,The impediments are discussed and possible solutions selected,The Scrum Master identifies new impediments,,,"1,4","Impediments are pointed out in the Daily Scrum but we don't discuss them.

Each developer informs everyone about the tasks they will handle in the next 24 hours, which is how the team is progressing towards the goal.",Scrum Events
Self-organizing teams are characterized by their ability to ...,multiple-choice,Make local decisions,Decide on which features will be added to the product,Decide on the project vision,Make project-based decisions,,,1,The Development Team is focused on creating Increments during Sprints and are self-organized to find out how to best accomplish it. Higher-level decisions for the project are done by the Product Owner and other stakeholders.,The Scrum Team
Which of the following is a responsibility of team leaders when multiple teams are working on the same product?,multiple-choice,Acting as middle men between the Product Owner and the developers,There's no team leaders in Scrum,Help the Product Owner with release planning,Making assignments,,,2,"There are only three roles in Scrum and other roles or titles are not recognized: Product Owner, Scrum Master, Development Team",The Scrum Team
What should the Product Owner do during Sprint zero?,multiple-choice,Prepare the Product Backlog for the next few Sprints,Communicate with the customer and understand the requirements,There's no such thing as Sprint zero,Prepare the Product Backlog for the whole project,,,3,"There's no such thing as Sprint zero. The first Sprint is called Sprint 1 and it's exactly the same as other Sprints: creates an Increment. The infrastructure, tools and requirements are prepared gradually throughout the project.",Scrum Events
Which three of the following are responsibilities of a self-organizing team?,multi-select,Create tasks for Sprint Backlog items,Estimate the amount of work of the newly created Product Backlog items,Pull Product Backlog items for the upcoming Sprint,Reorder the Product Backlog,Report progress to the stakeholders,Create new Product Backlog items,"1,2,3","It's the responsibility of the Development Team to estimate the amount of work of Product Backlog items and to select appropriate number of them for each Sprint. They also break down the items into tasks during the Sprint.

Measuring the project performance is the responsibility of the Product Owner, while measuring the Sprint performance is done by the Development Team.

Creating new Product Backlog items, ordering them (prioritization) and making sure that everyone has a clear understanding of them is the responsibility of the Product Owner.",The Scrum Team
The end users are the most important stakeholders for the Product Owner.,multiple-choice,TRUE,FALSE,,,,,1,Considering the end users as the most important stakeholders helps increase value.,The Scrum Team
How much of the Sprint Backlog should be defined during the Sprint Planning meeting?,multiple-choice,"Just enough, so the Development Team can forecast what it can do and to start the first several days of the Sprint.",Just enough for the Scrum Master to be able to assign tasks to developers.,Just enough to understand design and architecture.,All of the potential work.,,,1,"The Sprint Backlog includes the items selected from the Product Backlog and the tasks created by decomposing the items.

The items are completely planned in the Sprint Planning but not all tasks are created; just enough for the first few days of development. The rest of the tasks will be created during the Sprint.",Scrum Events
Who's responsible for Gantt Charts in Scrum?,multiple-choice,No one,The Scrum Master,The Development Team,The project manager,,,1,Gantt Chart is not a Scrum artifact and not compatible with the framework.,The Scrum Team
Which statements are correct about Product Backlog refinement? (Choose 2 answers),multi-select,It should be done right before the Sprint Planning,The Scrum Master should facilitate it,It shouldn't take more than 10% of the Development Team's time,Multiple teams may participate,,,"3,4","If multiple teams are working on the project, they will participate in the refinement as well. Refinement can take any amount of time from the Product Owner but not more than 10% of the capacity of the Development Team.

Refinement is a continuous activity not limited to a certain time during the Sprint. The Scrum Master only facilitates the meetings as requested or required; not by default.",Scrum Events
"The Product Owner has doubts about the quality of the definition of ""Done"". What should s/he do?",multiple-choice,"Adjust the definition of ""Done"" immediately","Adjust the definition of ""Done"" at the end of the Sprint",Ask the company QA department to investigate the issue,Point it out in the next Sprint Retrospective,,,4,"The Development Team is responsible for the definition of ""Done"" rather than the Product Owner. So, if the Product Owner doubts the quality of the definition of ""Done"", he/she can discuss it with the team on the next Sprint Retrospective, so that if they agree, it would be adjusted for the next Sprint.",Scrum Artifacts
How long does the Sprint Planning take in a project with three-week Sprints?,multiple-choice,8 hours,3 hours,6 hours,4 hours,,,3,Sprint Planning is 8 hours for a one-month Sprint and usually shorter proportionally for shorter Sprints.,Scrum Events
Which Scrum artifacts are ordered?,multiple-choice,Only the Product Backlog,None,Both the Product Backlog and Sprint Backlog,Only the Sprint Backlog,,,3,"The Product Backlog is ordered (prioritized) based on the business value.

The items in the Sprint Backlog follow the same order they had in the Product Backlog, therefore, are prioritized.",Scrum Artifacts
"Which of the following describe the definition of ""Done""? (choose 2 answers)",multi-select,Helps increase velocity,Increases transparency,Ensures everything is documented,Helps ensure the Increment is releasable,,,"2,4","Definition of ""Done"" increases transparency because everyone knows what it means by ""Done"". It includes everything required for creating something usable by the end users (potentially releasable).",Artifact Transparency
Pick 4 activities that are the responsibility of the Development Team.,multi-select,Using Story Point estimations.,Provide estimates,Break down epic user stories into smaller ones,Design software,Make technical decisions,Volunteer for tasks,"2,4,5,6",Designing the software is part of the development and should be done by the developers. They are self-organized and make technical decisions and volunteer for tasks (assign them to themselves). Estimation is the responsibility of the developers because they are the people who will develop the item.,The Scrum Team
Which of the following is a valid service from the Scrum Master to the Product Owner?,multiple-choice,Helping the Product Owner find techniques for managing the Product Backlog.,Act as a proxy when the Product Owner is not available to the team.,Helping the Product Owner order the Product Backlog items in order to maximize value.,"Act as the middleman between the Product Owner and the Development Team, as requested or required",,,1,"The following are the Scrum Master services to the Product Owner as described in the Scrum Guide:
-Finding techniques for effective Product Backlog management;
-Helping the Scrum Team understand the need for clear and concise Product Backlog items;
-Understanding product planning in an empirical environment;
-Ensuring the Product Owner knows how to arrange the Product Backlog to maximize value;
-Understanding and practicing agility;
-Facilitating Scrum events as requested or needed.
-These are mainly focused on coaching/training, rather than getting involved and helping someone do something.",The Scrum Team
When does inspection occur?,multiple-choice,When the Product Owner finds necessary,"Frequently, but not so often that gets in the way of work.",All the time,At the Sprint Review,,,2,"All Scrum events are opportunities for inspection and adaptation.

Inspection makes adaptation possible and that's why it's important. However, like anything else in Agile, we just like to have ""enough"" of it.",Scrum Theory
When is it time for integrating the solution?,multiple-choice,Before releasing the Increment,At the end of the Sprint,During the Sprint,At the end of the project,,,3,"Integration is part of the development of each item and a step in a normal definition of ""Done"". Agile projects use continuous integration to make the output potentially releasable.",Scrum Events
Which role is responsible for managing the Development Team?,multiple-choice,Team leader,Development Team,Product Owner,Scrum Master,Scrum Team,,2,The Development Team is self-organized and manages itself instead of receiving orders.,The Scrum Team
The Sprint Backlog makes visible all of the work the ... identifies as necessary to meet the Sprint Goal.,multiple-choice,Development Team,Scrum Team,Product Owner,Scrum Master,,,1,"This is up to the developers to identify how to accomplish the goal. After all, they are the technical people in the project.

The question is about the Sprint Backlog tasks, rather than items.",Scrum Artifacts
It is forecasted that the project will be over in 4 Sprints. The Product Owner wants to design acceptance tests for all items. What's the best response from the Scrum Master?,multiple-choice,"It's a good idea, as long as the tests are not too detailed.","It's a good idea, as long as there's a similar set of acceptance tests for all items.","This is not necessary. The items should be discussed in more detail before development, rather than upfront.",,,,3,Scrum doesn't use upfront planning and design and what's described in this question is a form of upfront preparation.,Scrum Theory
"The Development Team is self-organized, and therefore, can decide to drop the Daily Scrums.",multiple-choice,TRUE,FALSE,,,,,2,The developers are self-organized and make decisions but only inside the borders set by Scrum. Scrum events should not be dropped.,Scrum Events
Which of the following is not improved by using timeboxed Sprints?,multiple-choice,Technical debt,Prioritization of all aspects of work,Establishing work-in-progress limit,Demonstrating incremental progress,,,1,"Technical debt is any shortcoming in the solution that makes it less than ""good enough"" and might create problems in the future. Refactoring is a common way of reducing technical debt. Timeboxing, however, doesn't help with technical debt. Timeboxing the Sprints forces everyone to focus on the most important parts of the work (prioritization). It also ensures there will be frequent increments which demonstrate progress. When working inside timeboxes, it's better to limit work-in-progress and get items done before going to the next ones; otherwise, chances would be high that the team ends up with many in-progress items and not enough ""Done"" items at the end of the Sprint.",Scrum Events
Time can be allocated between the two Sprints for integration.,multiple-choice,TRUE,FALSE,,,,,2,"Integration is part of the definition of ""Done"" and should happen as part of the development during the Sprint. Each new Sprint starts immediately after the previous one; there's no time between the two.",Scrum Events
What happens to the incomplete Product Backlog items when the Sprint is over?,multiple-choice,"They won't be re-estimated, and they would be moved back to the Product Backlog.","They won't be re-estimated, and would be moved to the next Sprint Backlog.",They would be re-estimated and moved back to the Product Backlog.,,,,3,"The items should be re-estimated because they have been partially done and the effort will have been changed as more has been learned. Whenever an item is not done during the Sprint (for cancellation or reaching the end of the timebox), it would be moved back to the Product Backlog, rather than the next Sprint Backlog. This is so, because the Product Owner might reorder them and they won't be on the top of the Product Backlog anymore.",Scrum Artifacts
"If there are 60 developers for a Scrum project, how should they be divided into teams?",multiple-choice,The Scrum Masters decide,The Product Owner decides,The senior management decides,The developers should decide,They don't have be divided,,4,"Each Scrum team can have a maximum of 9 members. When more developers are required, multiple teams can work on the same product and it will be called Scaled Scrum. The developers are self-organized and decide how to form the teams.",The Scrum Team
A company has four products. Which two of the following are acceptable ways of forming Scrum teams?,multi-select,There should be one Product Owner for each product,There can be a single Product Owner for all products,There should be a single Product Owner for all products,There can be one Product Owner for each product,,,"2,4","When there's one product, there should be only one Product Owner, even if the product is large and there are many Development Teams. However, when there are multiple products, there are two options: (a) consider them separate and have a Product Owner for each of them (b) have only one Product Owner for all of them and develop them like a larger project to ensure compatibility.",The Scrum Team
Which of the following are optional in Scrum? (choose 2 answers),multi-select,Increment,"Definition of ""Done""",Velocity,Burn-down charts,Sprint Backlog,,"3,4","Velocity calculations and the use of burn-down charts are common and recommended but not mandatory. The rest are the Scrum artifacts. All Scrum roles, events and artifacts are mandatory.",Scrum Artifacts
Which statement is correct about Product Backlog refinement?,multiple-choice,It shouldn't consume more than 20% of the capacity of the Scrum Team,It shouldn't consume more than 10% of the capacity of the Development Team,It shouldn't consume more than 20% of the capacity of the Development Team,It shouldn't consume more than 10% of the capacity of the Scrum Team,,,2,The 10% limit is only for the developers because their main responsibility is to develop the product and refinement shouldn't be a distraction for them. Refinement is one of the main responsibilities of the Product Owner and they usually spend a high percentage of their time on it.,Scrum Artifacts
"No one is allowed to participate in the Daily Scrum, but the developers.",multiple-choice,TRUE,FALSE,,,,,1,"Anyone can ""attend"" the Daily Scrum but only the Development Team members are allowed to ""participate"".

",Scrum Events
Which artifact contains a plan for realizing the Sprint Goal?,multiple-choice,None,Sprint Backlog,Product Backlog,Gantt Chart,Product Vision,,2,The Sprint Backlog is the set of items selected from the Product Backlog and a number of tasks required for developing them and realizing the Sprint Goal.,Scrum Events
What happens to the Product Backlog when the end users' environment and needs change in the middle of the project?,multiple-choice,"There's no effect. If the changes are extreme, the project should be cancelled and a new one started with a new Product Backlog.",It evolves to reflect the changes,"It will be archived, and a new Product Backlog would replace it","The requirement specification document should change accordingly, followed by the Product Backlog.",,,2,"The Product Backlog is a dynamic concept that is not completely composed in the beginning of the project (or any other time) and is never made static by baselining. The Product Backlog always changes to reflect the feedback from the customer, end users, market and their environment. It's fair to say that the whole framework is designed in a way that enables such a responsive Product Backlog.",Scrum Artifacts
Which item is NOT an attribute of a Product Backlog Item?,multiple-choice,Estimate,Description,Value,Owner,,,4,"Each Product Backlog Item has a description, a business value used for ordering and an estimate for the amount of effort.",Scrum Artifacts
