,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response,Explanation,Knowledge Area
How should developers deal with non-functional features?,multiple-choice,Incorporate them into every Increment,Incorporate them before the release,Incorporate them in the hardening Sprint,Incorporate them in the integration Sprint,,,1,"Non-functional features are usually part of the Definition of Done and should be considered for every Product Backlog item and every Increment. Sometime, some non-functional features that address a very particular part of the software can be added as separate items in the Product Backlog.

All Sprints are the same. There's no Sprint zero, hardening Sprint, release Sprint, integration Sprint, etc.",Scrum Artifacts
Which of the following is a prerequisite for starting the Sprint Planning meeting?,multiple-choice,Having the Product Backlog items cleared and assigned to developers,Having the items at the top of the Product Backlog small enough to fit in one Sprint,Having the requirements specified and completely reflected in the Product Backlog,None,,,4,"We prefer to have ""ready"" items at the top of the Product Backlog before Sprint Planning, which is done through Product Backlog refinement. However, nothing stops our flow of Sprints. For example, we do not delay the Sprint because the items are not ready. In such cases, the ""unready"" items would be selected for the Sprint and refined during the Sprint.

""Ready"" items are those that are clear and small enough to fit into one Sprint.",Scrum Events
Which of the following refers to the average amount of work done per Sprint?,multiple-choice,Capacity,Velocity,Burn-down rate,Performance,,,2,"Velocity is the amount of work (usually in ""story points"") done per Sprint. For example, 200 story points per Sprint.",Scrum Events
Who owns the Sprint Backlog?,multiple-choice,The Product Owner,The Development Team,The Scrum Master,The Scrum Team,,,2,The Development Team owns the Sprint Backlog and the Product Owner owns the Product Backlog.,Scrum Artifacts
A company has three products. Which two of the following are acceptable way of forming Scrum teams?,multi-select,There can be one Product Owner for each product,There should be one Product Owner for each product,There can be a single Product Owner for all products,There should be a single Product Owner for all products,,,"1,3","When there's one product, there should be only one Product Owner, even if the product is large and there are many Development Teams. However, when there are multiple products, there are two options:
a) considering them separate and have a Product Owner for each of them
b) have only one Product Owner for all of them and develop them like a larger project to ensure compatibility.",The Scrum Team
"When forming multiple Scrum teams, which two of the following are the most important considerations?",multi-select,Having proper size in each team,Having an effective mixture of skill in each team to avoid dependencies,Having a mixture of senior and junior developers in each team,Having enough skills for the technical layer designated to the each team,,,"1,2",All teams should be cross-functional with 3 to 9 members.,The Scrum Team
"If it's not possible to complete the Sprint Backlog, who would try to resolve it?",multiple-choice,The Development Team,The Scrum Master,The Development Team and the Product Owner,The Product Owner,The Scrum Team,,3,"First of all, it's OK of the Sprint Backlog is not complete until the end of the Sprint. However, we would try to complete it if it's possible. When the developers find out they are behind schedule they will ask the Product Owner for help and the two roles together will adjust the work (tasks), or reorder the times to make sure the highest value will be created at the end of the Sprint.",Scrum Artifacts
"When multiple teams are working on the same product, their Sprints should be synchronized, and their outputs should be integrated into one integrated Increment.",multiple-choice,TRUE,FALSE,,,,,1,"The output created by each team should be potentially releasable and then they will be packaged into one integrated Increment.

This means that each Product Backlog item would be handled by one team and each team should be cross-functional.

Teams should synchronize their Sprints in a way that reduces complexity. This could require them to start and finish their Sprints inthe same time.",Scrum Events
"Teams A and B work on two different projects. Team A has 8 members, and a velocity of 600. Team B has 6 members, and a velocity of 500. Which team has a higher performance?",multiple-choice,Team B,Team A,It depends,,,,3,The provided information is not enough. Velocity is defined locally and it's not possible to compare one team's velocity with the other.,Scrum Theory
Which of the following does NOT apply to/suit Scrum?,multiple-choice,Static requirements,Based on empirical process control,Difficult to master,Process framework used to address complex products,,,1,"Agile is all about depending on adaptation, instead of predictive (static, upfront) plan and design.",Scrum Theory
The Product Owner is using burn-up charts instead of burn-down charts. What would be your response as the Scrum Master?,multiple-choice,There's nothing wrong with it.,"Burn-up charts are used in traditional methods, and should be replaced by burn-down charts.",,,,,1,"Burn-down charts are very common for tracking and representing progress, but they are not mandatory and the Product Owner can use other tools/techniques as well.",The Scrum Team
Scrum is an iterative and incremental Agile framework.,multiple-choice,TRUE,FALSE,,,,,1,"Scrum is iterative because processes are repeated in each Sprint. It's incremental because it delivers the product in multiple incremental steps instead of in a big bang.

And of course it's Agile (adaptive instead of predictive).",Scrum Theory
Which element helps limit work-in-progress?,multiple-choice,Using timeboxes,Using Sprint Review,Using Product Backlogs,Using Sprint Retrospective,,,1,"When working inside timeboxes, it's better to limit work-in-progress and get items done before going to the next ones; otherwise chances would be high that the team ends up with many in-progress items and not enough ""Done"" items at the end of the Sprint.

Limiting work-in-progress is a lean concept that avoids waste.",Scrum Events
Who's in the Scrum Team? (Choose multiple answers),multi-select,Scrum Master,Development Team,Project manager,Product Owner,Team leader(s),,"1,2,4",Not all questions will this easy but you should still read them very carefully as they can easily be misinterpreted.,The Scrum Team
Which of the following is not a pillar of Scrum?,multiple-choice,Transparency,Inspection,Empiricism,Adaptation,,,3,"The three pillars of Scrum are adaptation, inspection and transparency. Scrum is based on empiricism but it's not one of the pillars.",Scrum Theory
"Which statement is least accurate about the definition of ""Done""?",multiple-choice,It may evolve during the project,It's created by the Product Owner,It may vary depending on the project,It may be defined by the development organization,,,2,"The definition of ""Done"" can be prepared in the development organization and used in all projects as a minimum. If additional content is required for the definition or it's not prepared in the organization level, the Development Team would be responsible for preparing it.

The definition of ""Done"" can evolve during the project as more is learned. It's also dependent on the project and its environment.",Artifact Transparency
The Product Backlog is reordered by the stakeholders at the Sprint Review meeting.,multiple-choice,TRUE,FALSE,,,,,2,Only the Product Owner can order the Product Backlog. This can be influenced by other stakeholders but the Product Owner always has the final say.,Scrum Artifacts
"When multiple teams are working on the same product, who should make sure that their outputs can be integrated into one Increment?",multiple-choice,The developers,The developers and the Product Owner,The Product Owner,The Scrum Master,,,1,It's up to the developers to find their way and ensure that their outputs will create an integrated Increment that is potentially releasable.,The Scrum Team
Which statements are correct about Sprint Retrospective meeting? (Choose 2 answers),multi-select,It happens before the Sprint Review,It's an opportunity for inspection and adaptation,It's three hours in a one-month Sprint,It's the only time improvement are planned for the project,The Product Owner doesn't have to be at the meeting,,"2,3","The Sprint Retrospective happens after the Sprint Review; it's the last event in the Sprint. It's three hours in a one-month Sprint and all Scrum Team members attend it.

Its purpose is planning for improvements in the process (the way we're working), but it's not the only time we try to improve.

Similar to Sprint Planning, Sprint Review and Daily Scrum, it's an opportunity for inspection and adaptation.",Scrum Events
The Product Backlog refinement shouldn't take more than 10% of the Product Owner's time.,multiple-choice,TRUE,FALSE,,,,,2,The Product Backlog refinement is done by the Product Owner and the Development Team. The rule is that it shouldn't take more than 10% of the developers' time. The Product Owner spends as much time as required on refinement.,Scrum Events
Which of the following is a way of decreasing technical debt?,multiple-choice,Hiring an external auditor,"Improving the definition of ""Done""",Having hardening Sprints,,,,2,"There's usually room for improving the definition of ""Done"". A good definition will let less technical debt pass on to the next Sprints.

Technical debt is minor shortcomings in the code that makes it less than ""good enough"" and therefore creates risks in the future. It usually decreases velocity in the future (because the team has to fix the shortcomings) and as some of the debt might remain in the final product, the maintenance cost will increase as well.

Another Agile way of reducing technical debt is continuous refactoring.",Artifact Transparency
Which of the following is the shortest timebox in a two-week Sprint?,multiple-choice,Sprint Retrospective,Sprint Planning,Sprint Review,,,,1,"These are the durations in a two-week Sprint:
- Sprint Planning: 4 hours
- Sprint Review: 2 hours
- Sprint Retrospective: 1.5 hours",Scrum Events
What's the optimal length of a Sprint?,multiple-choice,Short enough to minimize risk,One week,Two weeks,One month,,,1,We prefer shorter Sprints as long as we can produce enough output. Shorter Sprints reduce the risk to the business.,Scrum Events
"The Product Owner is responsible for the definition of ""Done"".",multiple-choice,TRUE,FALSE,,,,,2,"If there's a definition of ""Done"" in the development organization that would be used for all projects. Otherwise, the Development Team would be responsible for creating one.

Even when there's a definition of ""Done"" in the organization, it can be used as a minimum and the developer can add extra elements to it (eg to decrease technical debt).",Artifact Transparency
Which statement is right during the Sprint?,multiple-choice,"Some Sprint Backlog items would be replaced with items from the Product Backlog, if the priorities change",The scope may be re-negotiated as more is learned,Some Sprint Backlog items would be moved back to the Product Backlog to be completed in future Sprints,,,,2,"During the Sprint, the Product Backlog items in the Sprint Backlog would not be added or removed but as more is learned, the scope may be clarified and re-negotiated between the Product Owner and Development Team. This is mainly focused on the interpretation of the Product Backlog items and the tasks created by decomposing them.",Scrum Artifacts
"What should happen to the ""Done"" Product Backlog items when the Sprint is cancelled?",multiple-choice,"They should be moved back to the Product Backlog, and would be taken care of in the future Sprints",They should be moved to the next Sprint Backlog.,"They will be reviewed, and if they are potentially releasable, the Product Owner typically accepts them.",,,,3,"The Development Team is responsible for the definition of ""Done"" rather than the Product Owner. So, if the Product Owner doubts the quality of the definition of ""Done"", he/she can discuss it with the team on the next Sprint Retrospective, so that if they agree, it would be adjusted for the next Sprint.",Scrum Events
The Product Owner is responsible for preparing the Sprint Goal before the Sprint Planning.,multiple-choice,TRUE,FALSE,,,,,2,The Sprint Goal is prepared during the Sprint Planning by the whole Scrum Team.,Scrum Events
The Scrum Master is a participant in Sprint Retrospective.,multiple-choice,TRUE,FALSE,,,,,1,All team members participate and try to find ways for improvement.,Scrum Events
All interactions between the stakeholders and the Development Team should be through the Product Owner.,multiple-choice,TRUE,FALSE,,,,,2,The interactions can be through the Product Owner or during the Sprint Review. Other interactions are discouraged as they distract the developers.,Scrum Events
Which of the following is not allowed in Scrum?,multiple-choice,Refactoring,Hardening Sprints,Velocity tracking,Release planning,,,2,Hardening Sprints are not allowed because the subject of hardening should be continuously address throughout normal Sprints. All Sprints are the same in Scrum. Other options are not described in the framework but are good practices recommended for Scrum projects.,Scrum Events
The Sprint Backlog is baselined at the end of the Sprint Planning.,multiple-choice,TRUE,FALSE,,,,,2,We don't baseline any artifact in Scrum. The Sprint Backlog is dynamic and changes during the Sprint to include newly identified tasks.,Scrum Artifacts
All work that the developers should do originate from the Product Backlog,multiple-choice,TRUE,FALSE,,,,,1,Everything they do is identified by decomposing the Product Backlog items.,Scrum Artifacts
It is OK for the items at the bottom of the Product Backlog not to be as clear as those at the top.,multiple-choice,TRUE,FALSE,,,,,1,"Items at the bottom of the Product Backlog won't be developed soon, so, there's no need to spend too much time making them clear and add details; that would be some kind of upfront planning. Not that the items do not go to the bottom of the backlog because they are not clear or do not have enough detail; the only basis for order of items is the business value. When the item does not have enough detail and starts to go to the top of the Product Backlog, it should be refined by adding more detail.",Scrum Artifacts
Ordering the Product Backlog items is part of the Product Backlog refinement.,multiple-choice,TRUE,FALSE,,,,,1,"Product Backlog refinement is defined in the Scrum Guide as the act of adding detail, estimates and order to the Product Backlog items. Remember that the Product Backlog refinement is an ongoing activity and is not timeboxed. The rule is that it shouldn't take more than 10% of the developers' time.",Scrum Artifacts
The Product Owner can ask the developers to order the Product Backlog items instead of him/her.,multiple-choice,TRUE,FALSE,,,,,1,The Product Owner can delegate his/her responsibilities to the development team but he/she stays accountable.,The Scrum Team
The Product Owner can delegate some of his/her responsibilities to the Development Team.,multiple-choice,TRUE,FALSE,,,,,1,The Product Owner can delegate his/her responsibilities to the development team but he/she stays accountable.,The Scrum Team
Scrum should be tailored for the project.,multiple-choice,TRUE,FALSE,,,,,2,"Unlike methodologies, the Scrum ""framework"" is not tailored because it's already limited to the essentials. Even the terms should not change let along adding or removing elements such as roles and events. However, you need to add many practices and techniques to the framework.",Scrum Theory
"Our velocity was 250 at the end of the 6th Sprint. It has become 275 at the end of the 11th Sprint. Therefore, we're creating more value now, compared to the past.",multiple-choice,TRUE,FALSE,,,,,2,"Velocity and value are not related directly. Value is the benefit to cost ratio. Since we start with the most important items first, those remained for the 11th Sprint are expected to have less value compared to those delivered at the 6th Sprint.",Scrum Theory
"Which of the following roles can set the definition of ""Done""?",multiple-choice,The Scrum Team,The Scrum Master,The Development Team,The Product Owner,,,3,"The development organization may have a definition of ""Done"" composed for all projects in which case the team will use it as a minimum. Otherwise, the Development Team would be responsible for composing the definition of ""Done"". When multiple teams are working on the same product, there can be more than one definition of ""Done"", as long as they all have the minimums required by the development organization and can create an integrated Increment.",Artifact Transparency
When should the Product Backlog items be refined? (choose 2 answers),multi-select,Before the Sprint in which the item is supposed to be developed,The business analysts do it before it is time to develop the item,"During the Sprint, if they have not been refined in the previous Sprints",,,,"1,3","Product Backlog refinement is a continuous activity. When an item is at the top of the backlog, which means it will be developed in the near future, more refinements are usually needed to make sure it is clear and contains just enough details (not all possible details). It's preferred to have the items that will be selected in the Sprint Backlog completely refined before Sprint Planning; however, it's OK to have more refinement done during the development. Remember that there's no such thing as Sprint 0 and there's no time between two Sprints that can be spent on something such as refinement. The team is also cross-functional and does the a-z of the work needed for each item, including refinement; they don't use people from other parts of the company.",Scrum Artifacts
"What does it mean to say a Product Backlog item is ""Done""? (Choose 3 answers)",multi-select,The item is ready for functional testing by the Product Owner,The item creates a software that is usable by the end user,No work left based on the Definition of Done,The item can be a part of a potentially releasable piece of software,All tasks identified for the item are done,The item is ready for user acceptance testing,"2,3,4","Items are ""Done"" when they are complete based on the definition of ""Done"". In that case, they would have the potential of creating a releasable/shippable Increment that is usable by the end user. Tests are also part of the work and items are not ""Done"" before the tests are complete; even the user acceptance tests. Quality requirements are part of the work but not all of it (eg non-functional features and development processes are also part of the work). We cannot trust the identified tasks because we might have missed some tasks and the sum of them do not conform to the definition of ""Done"".",Artifact Transparency
Which of the following is designed to synchronize multiple teams working on the same product?,multiple-choice,Daily Scrum,Sprint Planning,Weekly status report,Scrum-of-scrums,,,4,"Daily Scrum is for synchronizing inside a team and Scrum-of-Scrums is for synchronizing multiple teams working on the same product. When the Daily Scrum is over, one representative from each team goes to a higher level daily stand-up to discuss the issues among teams. Note: scrum.org has recently introduced its scaled Scrum framework called Nexus. It doesn't have a scrum-of-scrum as described here, while there might still be some questions about it in the exam.",Scrum Events
"Only the Product Owner has the authority to cancel a Sprint. However, the Development Team is trying to convince the Product Owner that the Sprint should be cancelled. What's the right response from the Scrum Master?",multiple-choice,It is OK,"The Scrum Master should stop this, because the Development Team does not have the authority to influence Sprint cancellation",The Scrum Master should encourage the Product Owner to discuss it with the customer first,The Scrum Master should be involved in making this decision,,,1,"Only the Product Owner can cancel a Sprint and the final decision belongs to him/her. However, this decision can be influenced by the customer, developers and Scrum Master.",Scrum Events
Each new Sprint starts immediately after the previous Sprint.,multiple-choice,TRUE,FALSE,,,,,1,Nothing happens between two Sprints; the next one starts immediately after the conclusion of the previous.,Artifact Transparency
Which statement is correct when the developers are working in the middle of the Sprint?,multiple-choice,The Sprint Backlog would be frozen,No user acceptance tests will be conducted until the end of the Sprint,The scope may be clarified as more is learned,,,,3,"During the Sprint, the Product Backlog items in the Sprint Backlog would not be added or removed but as more is learned, the scope may be clarified and re-negotiated between the Product Owner and Development Team. This is mainly focused on the interpretation of the Product Backlog items and the tasks created by decomposing them.",The Scrum Team
The Sprint Review is the only time when stakeholder feedback is captured.,multiple-choice,TRUE,FALSE,,,,,2,The Sprint Review is probably the most important opportunity for capturing feedback but adaptation is not limited to that. The Product Owner is constantly in contact with the stakeholders to identify new Product Backlog items or to refine them.,Scrum Events
Who updates work remaining during the Sprint?,multiple-choice,The Development Team,The Scrum Team,The Scrum Master,The Product Owner,,,1,he Product Owner is responsible for measuring the progress of the project and tracking the remaining work in the Product Backlog. The Development Team is responsible for measuring the progress of the Sprint and tracking the remaining work in the Sprint Backlog.,Scrum Artifacts
Conflict should be avoided at all cost on Agile teams.,multiple-choice,TRUE,FALSE,,,,,2,Managed conflicts can be helpful to the project.,Scrum Theory
Which of the following is the most important opportunity for capturing lessons learned?,multiple-choice,Sprint Retrospective,Sprint Planning,Sprint Review,Daily Scrum,,,1,Lessons learned are always captured but the main purpose of Sprint Retrospective is capturing and planning for lessons learned.,Scrum Events
"When multiple Scrum teams are working on the same product, should all of their outputs be integrated every Sprint?",multiple-choice,Yes,No,"Yes, only if there are dependencies among them",,,,1,All teams start and finish the Sprint within their defined timeboxes and their outputs would be combined and create an integrated Increment.,Scrum Artifacts
Which of the following best describes transparency?,multiple-choice,The whole process should be visible to everyone.,"The process should be visible, and understood by key stakeholders.",The whole process should be visible to stakeholders.,Significant aspects of the process must be visible to those responsible for the outcome.,,,4,"Transparency is about visibility and doesn't contain understanding; even though we'd better try our best to create the right understanding too but that's another story. The ""whole process"" might  be too much for some stakeholders; ""significant aspects"" is enough, as we treat most things in Agile environments.",Artifact Transparency
It's up to the Development Team to decide which Scrum events are needed during the Sprint.,multiple-choice,TRUE,FALSE,,,,,2,All Scrum events are necessary; they should never be removed.,Scrum Events
The purpose of the Daily Scrum is for the developers to inform the Product Owner of the progress.,multiple-choice,TRUE,FALSE,,,,,2,The main purpose of Daily Scrum is synchronization of the developers.,Scrum Events
The Product Owner doesn't spend enough time on the project. Which of the following options is the best response from the Scrum Master?,multiple-choice,Nominate a proxy Product Owner,Train the Product Owner why it's important for her/him to spend enough time on the project,Bring up the issue in the Sprint Retrospective,Send the Product Owner to a proper training,Inform the Product Owner's functional manager,,2,The Scrum Master is responsible to train and coach team members on a proactive way and convince them to do the right thing. All other options are either reactive or not self-organized.,The Scrum Team
The Product Owner and Scrum Master should not be part of the Development Team.,multiple-choice,TRUE,FALSE,,,,,2,"It's OK for one person to have more than one of the three Scrum roles even though it's not recommended. eg Product Owner and developer. Note: when we say that a sentence like this is false, it means that the opposite is right. However, remember that the opposite of ""should not"" is ""may"" rather than ""should"".",The Scrum Team
It's allowed to have team leaders when there are many developers working on a complex project.,multiple-choice,TRUE,FALSE,,,,,2,"No extra roles and titles are recognized in Scrum because it blocks self-organization, collaboration and accountability.",The Scrum Team
Which statement is correct when multiple Scrum teams are working on the same product?,multiple-choice,"There can be multiple Product Backlogs, when it's possible to divide the product into different application areas",There's only one Product Backlog for all of them,"There can be multiple Product Backlogs, but still a single integrated Product Backlog to summarize them all.",,,,2,"""One"" project and ""one"" product has only ""one"" Product Backlog and ""one"" Product Owner. Otherwise, prioritization and accountability would be difficult.",Scrum Theory
The Development Team cannot deliver the Increment because they don't understand a functional requirement. What should they do?,multiple-choice,Partially complete the work,Move the work to a future Sprint,Ask a specialist to solve the problem within the remaining duration of the Sprint,Collaborate with the Product Owner to solve the problem,,,4,"The Product Owner is responsible to make all items clear and understood. If the problem wasn't solved, then there's no option other than leaving it to go back to the Product Backlog at the end of the Sprint and be done later. The team is cross-functional and doesn't use external help. We don't deliver partially complete items; everything should be done based on the definition of ""Done"".",The Scrum Team
Who creates the Sprint Goal?,multiple-choice,The Scrum Master,The Product Owner,The Scrum Team,The Development Team,,,3,All Scrum Team members together compose the Sprint Goal during the Sprint Planning.,Scrum Events
How can we ensure that the performance requirements are addressed in the solution? (Choose 2 answers),multi-select,"Add them to the definition of ""Done""",Add them as items to the Product Backlog,Add a performance tester to the team,Use hardening Sprints to improve performance,,,"1,2","Performance, like security, scalability and maintainability is a non-functional feature. Non-functional features are normally added to the definition of ""Done"" because they apply to all functional features. For some non-functional features, such as performance, it's possible to create non-technical, independent items in the Product Backlog. This is usually done when we have to make an improvement in the previously done features.",Scrum Artifacts
"When multiple teams are working on the same product, each team should have their own definition of ""Done"".",multiple-choice,TRUE,FALSE,,,,,2,"All teams can use the same definition of ""Done"" but if required they can have different definitions as long as they are compatible and capable of creating integrated Increments. The answer to this question would have been ""true"" instead of ""false"" if there was a ""may"" instead of ""should"".",Artifact Transparency
How complete should the Sprint Backlog be at the end of the Sprint Planning meeting?,multiple-choice,Complete enough to show the work for the next few days.,It depends on the preference of the Product Owner.,The Sprint Backlog should be complete at the end of the Sprint Planning.,,,,1,Not all tasks are identified in the Sprint Planning; just enough to show what the development team is going to do in the next few days. The rest of the tasks will be created during the Sprint.,Scrum Events
What happens when the Product Backlog is not clear enough at Sprint Planning?,multiple-choice,Nothing; the Sprint would be planned anyway.,"The Sprint would be cancelled, and the next one will start as soon as enough items at the top of the Product Backlog are clear.","The Sprint Planning would be delayed, until enough refinement is done on the items at the top of the Product Backlog.","The Sprint Planning would be extended, to have the items refined before adding them to the Sprint Backlog.",,,1,"We prefer to have ""ready"" items at the top of the Product Backlog before Sprint Planning, which is done through Product Backlog refinement. However, nothing stops our flow of Sprints, for example, we do not delay the Sprint because the items are not ready. In such cases, the ""unready"" items would be selected for the Sprint anyway and refined during the Sprint. ""Ready"" items are those that are clear and small enough to fit into one Sprint.",Scrum Events
It's required to use user stories in Scrum.,multiple-choice,TRUE,FALSE,,,,,2,It's a good idea to use user stories for describing the Product Backlog items but it's not required.,Scrum Artifacts
