,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response,Explanation,Knowledge Area
Which artifact contains a plan for realizing the Sprint Goal?,multiple-choice,None,Sprint Backlog,Product Backlog,Gantt Chart,Product Vision,,2,The Sprint Backlog is the set of items selected from the Product Backlog and a number of tasks required for developing them and realizing the Sprint Goal.,Scrum Events
What happens to the Product Backlog when the end users' environment and needs change in the middle of the project?,multiple-choice,"There's no effect. If the changes are extreme, the project should be cancelled and a new one started with a new Product Backlog.",It evolves to reflect the changes,"It will be archived, and a new Product Backlog would replace it","The requirement specification document should change accordingly, followed by the Product Backlog.",,,2,"The Product Backlog is a dynamic concept that is not completely composed in the beginning of the project (or any other time) and is never made static by baselining. The Product Backlog always changes to reflect the feedback from the customer, end users, market and their environment. It's fair to say that the whole framework is designed in a way that enables such a responsive Product Backlog.",Scrum Artifacts
Which item is NOT an attribute of a Product Backlog Item?,multiple-choice,Estimate,Description,Value,Owner,,,4,"Each Product Backlog Item has a description, a business value used for ordering and an estimate for the amount of effort.",Scrum Artifacts
The Scrum Master shouldn't allow the Development Team start developing without having the tasks identified and assigned.,multiple-choice,TRUE,FALSE,,,,,2,There are two problems in this statement:(a) The Scrum Master doesn't manage the team and cannot forbid team members from doing something and cannot order them to do certain things. (b) The Development Team identify the tasks and assign them gradually throughout the Sprint. We don't do it upfront in the beginning of the Sprint.,The Scrum Team
Scrum mandates the use of burn-down charts.,multiple-choice,TRUE,FALSE,,,,,2,It's common and recommended to use burn-down charts but they are not mandatory.,Scrum Artifacts
How can a Scrum Master help multiple teams keep their output aligned in a single product?,multiple-choice,Teach the Product Owner to collaborate with lead developers on aligning the effort.,Teach them that it's their responsibility to work with the other teams to create aligned outputs and an integrated Increment.,"Collect Sprint Backlog tasks of all teams, make them consistent, and return them to team to work on",Visit Daily Scrums and ensure that team activities are aligned,,,2,The answer should be compatible with the self-organization concept; the Scrum Master or the Product Owner is not supposed to do anything directly in this regard; it's on the responsibility of the Development Team(s) to find their way.,The Scrum Team
Which of the following is done in the first Sprint?,multiple-choice,Planning the project,Developing the product vision,Completing the reference architecture,Creating a shippable piece of functionality,,,4,There's no difference between the first Sprint and the next ones. The main purpose is creating Increments.,Scrum Events
"Which statement is least accurate about the definition of ""Done""?",multiple-choice,It's created by the Product Owner,"There can be more than one definition of ""Done"" when multiple teams are working on the same product.",It may be defined by the development organization,,,,1,"The definition of ""Done"" can be prepared in the development organization and used in all projects as a minimum. If additional content is required for the definition or it's not prepared in the organization level, the Development Team would be responsible for preparing it. The definition of ""Done"" can evolve during the project as more is learned. It's also dependent on the project and its environment. Multiple teams can have different definitions of ""Done"", as long as they are compatible and capable of creating an integrated Increment at the end of the Sprint.",Artifact Transparency
Which two statements are right about technical debt?,multi-select,"When measured properly, the Product Owner can estimate when the product is ready for release",The Development Team should not start working on a new item unless they remove all existing technical debt,"It creates uncertainty, because when more code is added, more problems will occur and the development slows down",It creates false assumptions about the current state of the system; e.g. it might not be really releasable.,,,"3,4","Technical debt is the consequence of poor system design and architecture which can happen when they are done gradually in an adaptive environment. The Development Team should be careful with it and repay it with continuous refactoring. Refactoring is improving the code without changing the external behavior. If the technical debt keeps increasing because the team doesn't refactor, development will become harder day after day and it will slow down the progress on one hand and create problems for releases on the other hand.",Scrum Artifacts
Hardening Sprints are helpful for defect management and integration.,multiple-choice,TRUE,FALSE,,,,,2,"There's no hardening Sprints in Scrum. All Sprints are the same and create Increments. ""Hardening"" is done during all Sprints.",Scrum Events
Developers sign up to own backlog items at the Sprint Planning.,multiple-choice,TRUE,FALSE,,,,,2,"The ownership of the items and tasks are shared. The items are not even ""assigned"" to developers because they require multiple expertise. Only the tasks are assigned and even then, their ownership is shared.",The Scrum Team
Which of the following is less likely to be used by a Scrum Team?,multiple-choice,"Large screen, planning poker cards","Wiki, online forum","WBS, Gantt Chart","Digital camera, task board",,,3,WBS and Gantt Charts are used in traditional projects because they are focused on an upfront understanding of the scope of the project. The scope of Agile projects evolve during the project.,The Scrum Team
Who can change the Sprint Backlog during the Sprint?,multiple-choice,The Development Team,No one,The Development Team and the Product Owner together,The Product Owner,,,1,"The Product Backlog items in the Sprint Backlog do not change but another element in the Sprint Backlog is the tasks and they are always changing. This is the responsibility of the Development Team to make changes in the Sprint Backlog tasks; while they may also ""consult"" the Product Owner for this.",Scrum Artifacts
Sprint Review is a formal meeting that requires sign-off by the stakeholders,multiple-choice,TRUE,FALSE,,,,,2,Sprint Review is used for informal collaboration and creating feedback. It's not a formal meeting with signed approvals and handovers.,Scrum Events
A baselined Product Backlog is called:,multiple-choice,Release plan,Product Backlog is not baselined in Scrum,Sprint Backlog,Product vision,"""Ready"" Product Backlog",,2,"""Baselining"" is a term used in traditional environments for referring to a finalized upfront plan that would be followed in the future and used for evaluating the actual performance. There's no upfront planning and no baselines in Scrum.",Scrum Artifacts
The Sprint Backlog emerges during the Sprint.,multiple-choice,TRUE,FALSE,,,,,1,"While the Product Backlog items selected for the Sprint Backlog stay the same, the tasks created by decomposing them always change and emerge during the Sprint.",Scrum Artifacts
"The Product Owner ""owns"" the Product Backlog.",multiple-choice,TRUE,FALSE,,,,,1,"The Product Owner is the sole responsible person and they even ""own"" the Product Backlog. Note: remember that the Sprint Backlog is owned by the Development Team. This is not in contrast to the fact that the Product Backlog items are estimated by the developers; they provide this information to the Product Owner to be included in the Product Backlog. There are multiple implications by saying that the Product Owner ""owns"" the Product Backlog or is the sole responsible person, including: (a) Only they can add items to the backlog or decompose them into smaller items; while this is done by input from the customers and developers, and even the Product Owner can delegate this responsibility to the developers. (b) Only they can decide on the order of the items on the Product Backlog, while this is usually based on the input from customers and developers.",The Scrum Team
The Product Owner and the Scrum Master cannot tell the Development Team how to build the product.,multiple-choice,TRUE,FALSE,,,,,1,The Development Team is self-organized and finds its own way instead of receiving orders.,The Scrum Team
Which two of the following are true about Scrum? (Choose 2 answers),multi-select,Scrum is a methodology for managing complex projects.,Scrum is like traditional processes but with Sprints and related artifacts.,Scrum is a framework for developing and maintaining complex products.,Scrum is based on empirical process control theory,,,"3,4","Scrum is a framework, not a methodology or body of knowledge. Scrum is empirical, rather than theoretical. Scrum is more about project delivery rather than project management. Scrum is adaptive, rather than predictive (it's more than just using Sprints and related artifacts). Scrum should be used in its entirety (we do not tailor it).",Scrum Theory
Only the Scrum Team is allowed to attend the Sprint Planning.,multiple-choice,TRUE,FALSE,,,,,2,"Everyone is free to ""attend"" the events as long as their participation is beneficial.",Scrum Events
The number of developers has increased from 7 to 14. Now the Daily Scrums do not fit in 15 minutes. What's the best response to this problem?,multiple-choice,Increase the timebox of Daily Scrums to 30 minutes.,Help the team understand the importance of smaller group sizes and let them self-organize into separate teams with minimum dependency.,Help the team self-organize and finish the Daily Scrums in 15 minutes.,Finish the Daily Scrums in 15 minutes and let as many developers talk as possible.,,,2,"The maximum suggested number of Development Team members is 9. If more is needed, it's possible to use scaled Scrum (more than one team working on the same product).",The Scrum Team
When does the Development Team prepare the tools and infrastructure for the development?,multiple-choice,Throughout the project,Before the first Sprint,In Sprint zero,,,,1,"We do not prepare the infrastructure and tools upfront because it requires an understanding of the whole product, which is against the adaptive concept. The required infrastructure and tools depend on the product we're going to create, which in turn is defined through the project. The infrastructure and tools will be prepared gradually though the project. There's no Sprint zero in Scrum. All Sprints are the same; to create an Increment of working software.",Scrum Events
Scrum is a lightweight development methodology.,multiple-choice,TRUE,FALSE,,,,,2,"Scrum is referred to as a ""framework"" rather than a ""methodology"".",Scrum Theory
Which of the following is the single source of requirements for all changes to the product?,multiple-choice,The Increment,The Product Backlog,The Sprint Backlog,The Sprint Retrospective,The Sprint Review,The product vision,2,"Everything we might want to apply to the product, including changes, are reflected in the Product Backlog. It's high-level but contains everything.",Scrum Artifacts
The Product Owner should invite stakeholders to the Sprint Retrospective.,multiple-choice,TRUE,FALSE,,,,,2,"The Product Owner invites the stakeholders to the Sprint Review meeting. The Sprint Retrospective is internal to the team. As usual, others can attend but they cannot participate.",Scrum Events
Who monitors the remaining work of the Sprint Backlog?,multiple-choice,The Scrum Team,The Scrum Master,The Development Team,The Product Owner,,,3,The Product Owner is responsible for measuring the progress of the project and tracking the remaining work in the Product Backlog. The Development Team is responsible for measuring the progress of the Sprint and tracking the remaining work in the Sprint Backlog.,Scrum Artifacts
The Product Backlog is baselined at the beginning of the project.,multiple-choice,TRUE,FALSE,,,,,2,We don't baseline any artifact in Scrum. The Product Backlog is dynamic and never complete.,Scrum Artifacts
"Which statement best describes the definition of ""Done""?",multiple-choice,Everything that would make the output potentially releasable,Anything that the Product Owner finds necessary,Passing the QA and having all the required documents,,,,1,"The definition of ""Done"" helps us understand when everything is done on a Product Backlog item and is part of the Increment. The definition of ""Done"" is defined by the development organization or the Development Team, rather than the Product Owner.",Artifact Transparency
Each Sprint Backlog item should be owned by a Development Team member.,multiple-choice,TRUE,FALSE,,,,,2,Items and tasks in the Sprint Backlog are not owned by any specific person; ownership and accountability is shared. Tasks are assigned to one developer or a pair of developers but they don't own the task; they are just responsible for doing the task and everyone stays accountable (owner). The Sprint Backlog items are not even assigned to people because each item requires multiple expertise and usually done with the help of multiple people in the team.,Scrum Artifacts
What's velocity?,multiple-choice,Average lines of code created per Sprint,Average amount of work done per Sprint,Average man-hours spent per Sprint,Average number of items done per Sprint,,,2,"Velocity is the amount of work (usually in ""story points"") done per Sprint. For example, 200 story points per Sprint.",Scrum Events
A four-hour Sprint Planning is the timebox for Sprints that are ... long.,multiple-choice,Four weeks,Three weeks,One week,Two weeks,,,4,Sprint Planning is 8 hours for a one-month Sprint and usually shorter proportionally for short Sprints.,Scrum Events
Which of the following does NOT happen in the first Sprint? (Choose 2 answers),multi-select,Creating a complete Product Backlog,Creating a piece of working software,Creating a releasable Increment,Designing the complete architecture,,,"1,4","The Product Backlog is a dynamic concept that is never complete; especially, at the beginning of the project. Trying to prepare a complete Product Backlog at the beginning of the project is a form of upfront planning that doesn't suit Agile environments. The same goes for the architecture; it's not designed upfront, because we don't know exactly what we're going to develop.

All Sprints have the same purpose of bringing value to the customer by creating a potentially releasable Increment.",Scrum Events
Which of the following is a responsibility of the project manager in Scrum?,multiple-choice,There's no project manager in Scrum,Making high-level decisions,Authorizing the Sprints,Planning releases,Preparing the project plan and Gantt Charts,,1,"There are only three roles in Scrum and it's not allowed to add other roles or titles: Product Owner, Scrum Master and Development Team",The Scrum Team
Using timeboxed Sprints help limit work-in-progress.,multiple-choice,TRUE,FALSE,,,,,1,"When working inside timeboxes, it's better to limit work-in-progress and get items done before going to the next ones; otherwise, chances would be high that the team ends up with many in-progress items and not enough ""Done"" items at the end of the Sprint.
Limiting work-in-progress is a lean concept that avoids waste.",Scrum Events
Who makes sure that all developers are doing their tasks during the Sprint?,multiple-choice,The Scrum Master,The project manager,The Development Team,The Product Owner,,,3,"The developers take responsibility for doing the tasks (assignment) themselves and the Development Team ensures that all tasks are done properly. Remember that they are self-organized.

When items are ""Done"", the Product Owner checks them but this is focused on the item rather than individuals; all developers are accountable for their outputs.",The Scrum Team
Which is NOT a Development Team responsibility?,multiple-choice,Volunteering for tasks,Creating tasks,Measuring their own performance,Breaking down the items in the Product Backlog into smaller items,,,4,"This is the responsibility of the Product Owner to break down the large Product Backlog items into smaller ones. The Development Team usually ""helps"" in this but it doesn't make them responsible.",The Scrum Team
Which two statements are correct during the Sprint?,multi-select,Some Sprint Backlog items would be replaced with items from the Product Backlog if the priorities change,The scope may be clarified as more is learned,The scope may be re-negotiated as more is learned,Some Sprint Backlog items would be moved back to the Product Backlog to be completed in future Sprints,,,"2,3","During the Sprint, the Product Backlog items in the Sprint Backlog would not be added or removed but as more is learned, the scope may be clarified and re-negotiated between the Product Owner and Development Team. This is mainly focused on the interpretation of the Product Backlog items and the tasks created by decomposing them.",Scrum Events
Which of the following are optional in Scrum? (choose 2 answers),multi-select,Velocity,Having potentially releasable Increments,Release plan,Measuring Sprint performance,Product Backlog,,"1,3","Having a release plan is usually required but it's not part of the framework and is not mandatory.
Velocity calculation is also helpful and recommended but is not part of the framework.
The rest are Scrum artifacts. All Scrum roles, events and artifacts are mandatory.",Scrum Theory
Which of the following is a right action from the Scrum Master in response to a Product Owner who has problems managing the Product Backlog?,multiple-choice,Ask the Development Team to help the Product Owner understand the dependencies among items to be used in ordering them,Help the Product Owner order the items,Extend the Sprint so that the Product Owner has more time ordering items,Ask the customer to order the items instead of the Product Owner,,,2,"The Scrum Master is supposed to know the tools and techniques and to help everyone in that regard. However, it's only about helping, training, coaching and consulting rather than taking over.",The Scrum Team
The Product Owner ensures enough items are selected from the Product Backlog in the Sprint Planning meeting to satisfy the stakeholders.,multiple-choice,TRUE,FALSE,,,,,2,It's only up to the developers to decide how many items they will select from the top of the Product Backlog. The Product Owner only orders the items.,Scrum Events
"All of the following are inputs to the Sprint Planning meeting, EXCEPT:",multiple-choice,Sprint Goal,Previous Increment,Product Backlog,Velocity,,,1,The Sprint Goal is created during the Sprint Planning. The rest are the existing information we use for planning the Sprint.,Scrum Events
What's the maximum duration of Sprint Planning when the Product Backlog is not clear?,multiple-choice,As much as needed,8 hours,6 hours,12 hours,4 hours,2 hours,2,"The maximum duration of Sprint Planning for a one month Sprint (which is the longest allowed Sprint) is 8 hours.
This is not dependent on any other factor such as the state of the Product Backlog.",Scrum Events
There are 6 teams working on the same product. How many Product Owners do they need?,multiple-choice,One,Six,The team should decide,Depends on the complexity of the product,,,1,"One project for one product has only one Product Backlog and one Product Owner. Otherwise, prioritization and accountability would be too difficult.",The Scrum Team
How is management external to the Scrum team involved in the Daily Scrum?,multiple-choice,The Product Owner represents their opinions,There's no such involvement,The Scrum Master represents them,Management can be present at the meeting and open it with their updates or opinions,,,2,The Daily Scrum is only for the Development Team. Others can attend but they won't participate.,Scrum Events
What should the Product Owner do during the Sprint Retrospective?,multiple-choice,Capture the Development Team's answers,Participate as a Scrum Team member,Prioritize the outputs of the meeting,Summarize and report the results to the senior management,,,2,The whole Scrum Team should participate in the Sprint Retrospective to find an improvement to be applied in the next Sprint; including the Product Owner.,Scrum Events
What's the main responsibility of testers?,multiple-choice,Verifying the programmers output,Proactively verify the programmers output,Help the team incorporate the test driven development practice,Find bugs,There's no tester role in Scrum,,5,"There are only three roles in Scrum: Product Owner, Scrum Master and Development Team. It's not allowed to define new roles and the Development Team members should not have any titles; they are all ""developers"". It is so, because we want all of them to be accountable for everything and to collaborate with each other.
Each person has his/her own area of expertise, such as testing, and that person will be more focused on testing tasks but it doesn't mean that we can call the person ""tester"".",The Scrum Team
It is OK for the items at the bottom of the Product Backlog to have less detail compared to those that the top.,multiple-choice,TRUE,FALSE,,,,,1,"Items on the bottom of the Product Backlog won't be developed soon, therefore, we don't need to spend too much time on them. Otherwise, it would be a form of upfront planning.",Scrum Artifacts
Product Backlog refinement is the act of ... to the items in the Product Backlog.,multiple-choice,"Adding detail, estimates and order",Adding detail and estimates,Adding estimates and order,Adding detail and order,,,1,"Product Backlog refinement is defined in the Scrum Guide as the act of adding detail, estimates and order to the Product Backlog items.

Remember that Product Backlog refinement is an ongoing activity and is not timeboxed. The rule is that it shouldn't take more than 10% of the developers' time.",Scrum Artifacts
Who should know the most about the project performance?,multiple-choice,The Product Owner,The Scrum Master,The Scrum Team,The project manager,The Development Team,,1,Measuring the release or project performance is the Product Owner's responsibility. Measuring the Sprint performance is the Development Team's responsibility.,Scrum Artifacts
It's better to have longer Sprints when the project is riskier.,multiple-choice,TRUE,FALSE,,,,,2,"When Sprints are shorter, there are more opportunities for demonstration, receiving feedback and adaptation. So, when risks are higher, it's better to have shorter Sprints (if possible).",Scrum Events
"If the customer wants a new feature to be added to the current Sprint, how should the Development Team respond?",multiple-choice,Ask the Product Owner to work with the customer,Add the item to the bottom of the Sprint Backlog,Reject the request,Add the item to the Product Backlog,Swap the item with one of the items in the Sprint Backlog,,1,"Such a request would be rejected because we don't add or remove the items in the Sprint Backlog (while we always add and remove tasks). However, this is up to the Product Owner to reject this request, rather than the developers. So, they should just refer the customer to the Product Owner. In very special cases, the new feature might be so special and the project environment so influenced that the introduction of the new feature makes the current Sprint Goal invalid and therefore the Product Owner will cancel the Sprint. Remember, this doesn't happen often.",The Scrum Team
The Development Team is free to change its engineering practices whenever they want.,multiple-choice,TRUE,FALSE,,,,,1,"The Development Team is self-organized and cross-functional; they have to decide how best to handle their development and this decision can evolve during the project as more is learned about the needs.

This is about their development and doesn't have to be constrained by the Sprints. The elements that shouldn't be changed during the Sprint are those required for keeping them focused on their development.",The Scrum Team
An organization has decided to adopt Scrum. What happens if they tailor the Scrum terminology to match their current environment? (Choose 3 answers),multi-select,Management may feel less enthusiastic about the change,The change might not be obvious to everyone and some benefits may be lost,They will get better results adopting Scrum this way,The change might not be obvious to everyone and therefore very little change actually happen,,,"1,2,4","Scrum is a framework rather than a methodology. It's very lightweight and only contains the essential required aspects. Therefore, it shouldn't be tailored like methodologies (eg PRINCE2).",Scrum Theory
The Product Owner can transfer some of his/her accountability to the developers.,multiple-choice,TRUE,FALSE,,,,,2,The Product Owner can delegate his/her responsibilities to the development team but he/she stays accountable.,The Scrum Team
When should the Product Backlog items be refined? (Choose 2 answers),multi-select,In one or two preceding Sprints,In the time between the two Sprints,"During the Sprint, if they have not been refined in the previous Sprints",In Sprint 0,,,"1,3","Product Backlog refinement is a continuous activity. When an item is at the top of the backlog, which means it will be developed in the near future, more refinements are usually needed to make sure it is clear and contains just enough details (not all possible details).
It's preferred to have the items that will be selected in the Sprint Backlog completely refined before Sprint Planning; however, it's OK to have more refinement done during the development.
Remember that there's no such thing as Sprint 0 and there's no time between two Sprints that can be spent on something such as refinement. The team is also cross-functional and does the a-z of the work needed for each item, including refinement; they don't use people from other parts of the company.",Scrum Artifacts
Which role is the equivalent of project manager in Scrum?,multiple-choice,The Product Owner,The team leader(s),None,The Development Team,The Scrum Master,,3,The project management activities are distributed among all three roles.,The Scrum Team
"What are the benefits of having tests in the definition of ""Done""? (Choose 3 answers)",multi-select,Increments would be more complete,Increments would be closer to being potentially shippable,Increased transparency of the Increments,Reporting would be easier for the project manager,,,"1,2,3","Items are not really done unless we have tested them; so, tests should be included in the definition of ""Done"". In this case, the Increments will be closer to what we can practically call ""complete"", ""done"", ""potentially releasable"", or ""potentially shippable""; to something useable for the users.

Increments should be potentially releasable; for starters, because it makes it easier for the customer to try it and give feedback. The feedback enables adaptation, which is essential to Agile.

Having an effective definition of ""Done"" increases transparency because everyone will know what we mean when we say an items is done.",Artifact Transparency
What's the vertical axis in a typical burn-down chart?,multiple-choice,The amount of remaining work,The progress,The technical debt,The capacity of the team,,,1,"The horizontal axis is time, the vertical axis is the remaining amount of work and the trend line shows the forecasted finish date if the Product Backlog and the team capacity stay the same.",Scrum Events
Which statement can be considered an Increment?,multiple-choice,A few new features in a usable state that are added to those delivered in the previous Sprints,A user interface layout design for the software,A UML diagram that describes the functionalities in the future Sprints,A decomposition of Product Backlog items into tasks that will be used in the future Sprints,,,1,"Increments are a set of done Product Backlog items. All items should be non-technical and independent.
The user interface design evolves throughout the project, as with the database architecture and other similar things. They are all part of functional features rather than separate ones.",Scrum Artifacts
How should a Product Backlog item be refined when it is located at the top? (Choose 2 answers),multi-select,All the tasks required for completing it should be identified,"In a way that it can be ""Done"" in the timeboxed duration of one Sprint",In a way that it's clear enough for the developers,It should be clear which developer is responsible for it,,,"2,3","Items at the top of the Product Backlog should be small enough to fit in one Sprint. They should also be clear and detailed enough; but not too detailed (eg not with all tasks need to be identified) as it would be upfront planning. Tasks are created gradually during the Sprint.
Product Backlog items require multiple expertise and usually done by multiple developers. Therefore, they are not assigned. Tasks, however, are assigned to the individual developers, while everyone stays accountable.",Scrum Artifacts
Which of the following are ways for the stakeholders to interact with the Development Team? (Choose 2 answers),multi-select,At the Sprint Retrospective,Via the Product Owner,At the Sprint Review,At the Sprint Planning,"Directly, during the Sprint",At the Daily Scrums,"2,3",We don't want the team to be distracted; they need to stay focused and productive. That's why their direct interactions with the customer is limited to the Sprint Review or via the Product Owner.,The Scrum Team
When's a new Increment of working software must be available?,multiple-choice,Every 3 Sprints,When the Product Owner asks for it,At the end of each Sprint,Before each planned release,Whenever the user acceptance testing is done,,3,"An Increment of ""Done"" working software, which is potentially releasable, must be produced at the end of each Sprint.",Scrum Artifacts
Which Scrum event is for process improvement?,multiple-choice,Sprint Retrospective,Daily Scrum,Sprint Planning,Sprint Review,,,1,We value individuals and interactions over processes and tools but it doesn't mean that we ignore the need for processes. Scrum provides a process (way of working) which should be continuously improved by Sprint Retrospective and in other opportunities.,Scrum Events
There should be frequent integration Sprints to integrate the solution.,multiple-choice,TRUE,FALSE,,,,,2,There's no integration Sprint in Scrum. All Sprints are the same and create increments. Integration is done during all Sprints.,Scrum Events
The Product Owner is responsible for both maximizing the value of the product and the value of the work of the Development Team.,multiple-choice,TRUE,FALSE,,,,,1,"The value of the work of the team is nothing but the value they create through the product. This is how the section on Product Owner is opened in the Scrum Guide: The Product Owner is responsible for maximizing the value of the product and the work of the Development Team. How this is done may vary widely across organizations, Scrum Teams and individuals.",The Scrum Team
When is a Sprint Backlog item considered complete?,multiple-choice,When all of its tasks are complete,When the Sprint is over,"When everything is done based on the definition of ""Done""",When the user acceptance tests are done,,,3,"When the item is complete based on the definition of ""Done"", the end users can use it and it creates an Increment of working software which is potentially releasable.

Note: if all the tasks for an item are complete, it doesn't necessarily mean that the item is complete because we might have forgotten to add some of the tasks.",Artifact Transparency
Which statement best describes the Sprint Backlog?,multiple-choice,Each of its items has been estimated in hours,It's the Development Team's plan for the Sprint,It's composed by the Product Owner,Each of its items are assigned to a team member,,,2,"The Sprint Backlog is created during the Sprint Planning and includes the items selected from the Product Backlog (by the Development Team) and the tasks created by decomposing the items (by the Development Team).
Developers keep adding tasks during the Sprint, so the Sprint Backlog updates. It's the Development Team's plan for the current Sprint. This plan is not detailed upfront.
If the Development Team cannot deliver some of the items, they will go back to the Product Backlog and will be ordered again; they do not go to the next Sprint automatically.
Each task is assigned to one developer or a pair of developers but the ownership is still shared. Items are not assigned or owned by specific developers, all of them share accountability.",Scrum Artifacts
When is a Sprint cancelled?,multiple-choice,When a key developer cannot work for awhile,When the Sprint Goal doesn't make sense anymore,When all Sprint Backlog items won't be finished until the end of the Sprint,"When the definition of ""Done"" is met",,,2,Sprints are cancelled by the Product Owner only because they don't make sense anymore or become obsolete. It's mainly about the Sprint Goal.,Scrum Events
Which of the following is not a role in Scrum?,multiple-choice,Product manager,Scrum Master,Development Team,Product Owner,,,1,"There are only three roles in Scrum: Scrum Master, Product Owner and Development Team. Other roles or titles are not recognized.",The Scrum Team
The Scrum Master is a management role.,multiple-choice,TRUE,FALSE,,,,,1,The Scrum Master is a management role but for the process rather than for the people.,The Scrum Team
