,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response,Explanation,Knowledge Area
Which of the following is a responsibility of team leaders when multiple teams are working on the same product?,multiple-choice,Acting as middle men between the Product Owner and the developers,There's no team leaders in Scrum,Help the Product Owner with release planning,Making assignments,,,2,"There are only three roles in Scrum and other roles or titles are not recognized: Product Owner, Scrum Master, Development Team",The Scrum Team
What should the Product Owner do during Sprint zero?,multiple-choice,Prepare the Product Backlog for the next few Sprints,Communicate with the customer and understand the requirements,There's no such thing as Sprint zero,Prepare the Product Backlog for the whole project,,,3,"There's no such thing as Sprint zero. The first Sprint is called Sprint 1 and it's exactly the same as other Sprints: creates an Increment. The infrastructure, tools and requirements are prepared gradually throughout the project.",Scrum Events
Which three of the following are responsibilities of a self-organizing team?,multi-select,Create tasks for Sprint Backlog items,Estimate the amount of work of the newly created Product Backlog items,Pull Product Backlog items for the upcoming Sprint,Reorder the Product Backlog,Report progress to the stakeholders,Create new Product Backlog items,"1,2,3","It's the responsibility of the Development Team to estimate the amount of work of Product Backlog items and to select appropriate number of them for each Sprint. They also break down the items into tasks during the Sprint.

Measuring the project performance is the responsibility of the Product Owner, while measuring the Sprint performance is done by the Development Team.

Creating new Product Backlog items, ordering them (prioritization) and making sure that everyone has a clear understanding of them is the responsibility of the Product Owner.",The Scrum Team
The end users are the most important stakeholders for the Product Owner.,multiple-choice,TRUE,FALSE,,,,,1,Considering the end users as the most important stakeholders helps increase value.,The Scrum Team
How much of the Sprint Backlog should be defined during the Sprint Planning meeting?,multiple-choice,"Just enough, so the Development Team can forecast what it can do and to start the first several days of the Sprint.",Just enough for the Scrum Master to be able to assign tasks to developers.,Just enough to understand design and architecture.,All of the potential work.,,,1,"The Sprint Backlog includes the items selected from the Product Backlog and the tasks created by decomposing the items.

The items are completely planned in the Sprint Planning but not all tasks are created; just enough for the first few days of development. The rest of the tasks will be created during the Sprint.",Scrum Events
A company has three products. Which two of the following are acceptable way of forming Scrum teams?,multi-select,There can be one Product Owner for each product,There should be one Product Owner for each product,There can be a single Product Owner for all products,There should be a single Product Owner for all products,,,"1,3","When there's one product, there should be only one Product Owner, even if the product is large and there are many Development Teams. However, when there are multiple products, there are two options:
a) considering them separate and have a Product Owner for each of them
b) have only one Product Owner for all of them and develop them like a larger project to ensure compatibility.",The Scrum Team
"When forming multiple Scrum teams, which two of the following are the most important considerations?",multi-select,Having proper size in each team,Having an effective mixture of skill in each team to avoid dependencies,Having a mixture of senior and junior developers in each team,Having enough skills for the technical layer designated to the each team,,,"1,2",All teams should be cross-functional with 3 to 9 members.,The Scrum Team
"If it's not possible to complete the Sprint Backlog, who would try to resolve it?",multiple-choice,The Development Team,The Scrum Master,The Development Team and the Product Owner,The Product Owner,The Scrum Team,,3,"First of all, it's OK of the Sprint Backlog is not complete until the end of the Sprint. However, we would try to complete it if it's possible. When the developers find out they are behind schedule they will ask the Product Owner for help and the two roles together will adjust the work (tasks), or reorder the times to make sure the highest value will be created at the end of the Sprint.",Scrum Artifacts
"When multiple teams are working on the same product, their Sprints should be synchronized, and their outputs should be integrated into one integrated Increment.",multiple-choice,TRUE,FALSE,,,,,1,"The output created by each team should be potentially releasable and then they will be packaged into one integrated Increment.

This means that each Product Backlog item would be handled by one team and each team should be cross-functional.

Teams should synchronize their Sprints in a way that reduces complexity. This could require them to start and finish their Sprints inthe same time.",Scrum Events
"Teams A and B work on two different projects. Team A has 8 members, and a velocity of 600. Team B has 6 members, and a velocity of 500. Which team has a higher performance?",multiple-choice,Team B,Team A,It depends,,,,3,The provided information is not enough. Velocity is defined locally and it's not possible to compare one team's velocity with the other.,Scrum Theory
Which of the following does NOT apply to/suit Scrum?,multiple-choice,Static requirements,Based on empirical process control,Difficult to master,Process framework used to complex products,,,1,"Agile is all about depending on adaptation, instead of predictive (static, upfront) plan and design.",Scrum Theory
The Product Owner is using burn-up charts instead of burn-down charts. What would be your response as the Scrum Master?,multiple-choice,There's nothing wrong with it.,"Burn-up charts are used in traditional methods, and should be replaced by burn-down charts.",,,,,1,"Burn-down charts are very common for tracking and representing progress, but they are not mandatory and the Product Owner can use other tools/techniques as well.",The Scrum Team
Scrum is an iterative and incremental Agile framework.,multiple-choice,TRUE,FALSE,,,,,1,"Scrum is iterative because processes are repeated in each Sprint. It's incremental because it delivers the product in multiple incremental steps instead of in a big bang.

And of course it's Agile (adaptive instead of predictive).",Scrum Theory
Which element helps limit work-in-progress?,multiple-choice,Using timeboxes,Using Sprint Review,Using Product Backlogs,Using Sprint Retrospective,,,1,"When working inside timeboxes, it's better to limit work-in-progress and get items done before going to the next ones; otherwise chances would be high that the team ends up with many in-progress items and not enough ""Done"" items at the end of the Sprint.

Limiting work-in-progress is a lean concept that avoids waste.",Scrum Events
Ordering the Product Backlog items is part of the Product Backlog refinement.,multiple-choice,TRUE,FALSE,,,,,1,"Product Backlog refinement is defined in the Scrum Guide as the act of adding detail, estimates and order to the Product Backlog items. Remember that the Product Backlog refinement is an ongoing activity and is not timeboxed. The rule is that it shouldn't take more than 10% of the developers' time.",Scrum Artifacts
The Product Owner can ask the developers to order the Product Backlog items instead of him/her.,multiple-choice,TRUE,FALSE,,,,,1,The Product Owner can delegate his/her responsibilities to the development team but he/she stays accountable.,The Scrum Team
The Product Owner can delegate some of his/her responsibilities to the Development Team.,multiple-choice,TRUE,FALSE,,,,,1,The Product Owner can delegate his/her responsibilities to the development team but he/she stays accountable.,The Scrum Team
Scrum should be tailored for the project.,multiple-choice,TRUE,FALSE,,,,,2,"Unlike methodologies, the Scrum ""framework"" is not tailored because it's already limited to the essentials. Even the terms should not change let along adding or removing elements such as roles and events. However, you need to add many practices and techniques to the framework.",Scrum Theory
"Our velocity was 250 at the end of the 6th Sprint. It has become 275 at the end of the 11th Sprint. Therefore, we're creating more value now, compared to the past.",multiple-choice,TRUE,FALSE,,,,,2,"Velocity and value are not related directly. Value is the benefit to cost ratio. Since we start with the most important items first, those remained for the 11th Sprint are expected to have less value compared to those delivered at the 6th Sprint.",Scrum Theory
"Which of the following roles can set the definition of ""Done""?",multiple-choice,The Scrum Team,The Scrum Master,The Development Team,The Product Owner,,,3,"The development organization may have a definition of ""Done"" composed for all projects in which case the team will use it as a minimum. Otherwise, the Development Team would be responsible for composing the definition of ""Done"". When multiple teams are working on the same product, there can be more than one definition of ""Done"", as long as they all have the minimums required by the development organization and can create an integrated Increment.",Artifact Transparency
When should the Product Backlog items be refined? (choose 2 answers),multi-select,Before the Sprint in which the item is supposed to be developed,The business analysts do it before it is time to develop the item,"During the Sprint, if they have not been refined in the previous Sprints",,,,"1,3","Product Backlog refinement is a continuous activity. When an item is at the top of the backlog, which means it will be developed in the near future, more refinements are usually needed to make sure it is clear and contains just enough details (not all possible details). It's preferred to have the items that will be selected in the Sprint Backlog completely refined before Sprint Planning; however, it's OK to have more refinement done during the development. Remember that there's no such thing as Sprint 0 and there's no time between two Sprints that can be spent on something such as refinement. The team is also cross-functional and does the a-z of the work needed for each item, including refinement; they don't use people from other parts of the company.",Scrum Artifacts
"What does it mean to say a Product Backlog item is ""Done""? (Choose 3 answers)",multi-select,The item is ready for functional testing by the Product Owner,The item creates a software that is usable by the end user,No work left based on the Definition of Done,The item can be a part of a potentially releasable piece of software,All tasks identified for the item are done,The item is ready for user acceptance testing,"2,3,4","Items are ""Done"" when they are complete based on the definition of ""Done"". In that case, they would have the potential of creating a releasable/shippable Increment that is usable by the end user. Tests are also part of the work and items are not ""Done"" before the tests are complete; even the user acceptance tests. Quality requirements are part of the work but not all of it (eg non-functional features and development processes are also part of the work). We cannot trust the identified tasks because we might have missed some tasks and the sum of them do not conform to the definition of ""Done"".",Artifact Transparency
Which of the following is designed to synchronize multiple teams working on the same product?,multiple-choice,Daily Scrum,Sprint Planning,Weekly status report,Scrum-of-scrums,,,4,"Daily Scrum is for synchronizing inside a team and Scrum-of-Scrums is for synchronizing multiple teams working on the same product. When the Daily Scrum is over, one representative from each team goes to a higher level daily stand-up to discuss the issues among teams. Note: scrum.org has recently introduced its scaled Scrum framework called Nexus. It doesn't have a scrum-of-scrum as described here, while there might still be some questions about it in the exam.",Scrum Events
"Only the Product Owner has the authority to cancel a Sprint. However, the Development Team is trying to convince the Product Owner that the Sprint should be cancelled. What's the right response from the Scrum Master?",multiple-choice,It is OK,"The Scrum Master should stop this, because the Development Team does not have the authority to influence Sprint cancellation",The Scrum Master should encourage the Product Owner to discuss it with the customer first,The Scrum Master should be involved in making this decision,,,1,"Only the Product Owner can cancel a Sprint and the final decision belongs to him/her. However, this decision can be influenced by the customer, developers and Scrum Master.",Scrum Events
Each new Sprint starts immediately after the previous Sprint.,multiple-choice,TRUE,FALSE,,,,,1,Nothing happens between two Sprints; the next one starts immediately after the conclusion of the previous.,Artifact Transparency
Conflict should be avoided at all cost on Agile teams.,multiple-choice,TRUE,FALSE,,,,,2,Managed conflicts can be helpful to the project.,Scrum Theory
Which of the following is the most important opportunity for capturing lessons learned?,multiple-choice,Sprint Retrospective,Sprint Planning,Sprint Review,Daily Scrum,,,1,Lessons learned are always captured but the main purpose of Sprint Retrospective is capturing and planning for lessons learned.,Scrum Events
"When multiple Scrum teams are working on the same product, should all of their outputs be integrated every Sprint?",multiple-choice,Yes,No,"Yes, only if there are dependencies among them",,,,1,All teams start and finish the Sprint within their defined timeboxes and their outputs would be combined and create an integrated Increment.,Scrum Artifacts
Which of the following best describes transparency?,multiple-choice,The whole process should be visible to everyone.,"The process should be visible, and understood by key stakeholders.",The whole process should be visible to stakeholders.,Significant aspects of the process must be visible to those responsible for the outcome.,,,4,"Transparency is about visibility and doesn't contain understanding; even though we'd better try our best to create the right understanding too but that's another story. The ""whole process"" might  be too much for some stakeholders; ""significant aspects"" is enough, as we treat most things in Agile environments.",Artifact Transparency
It's up to the Development Team to decide which Scrum events are needed during the Sprint.,multiple-choice,TRUE,FALSE,,,,,2,All Scrum events are necessary; they should never be removed.,Scrum Events
The purpose of the Daily Scrum is for the developers to inform the Product Owner of the progress.,multiple-choice,TRUE,FALSE,,,,,2,The main purpose of Daily Scrum is synchronization of the developers.,Scrum Events
The Product Owner doesn't spend enough time on the project. Which of the following options is the best response from the Scrum Master?,multiple-choice,Nominate a proxy Product Owner,Train the Product Owner why it's important for her/him to spend enough time on the project,Bring up the issue in the Sprint Retrospective,Send the Product Owner to a proper training,Inform the Product Owner's functional manager,,2,The Scrum Master is responsible to train and coach team members on a proactive way and convince them to do the right thing. All other options are either reactive or not self-organized.,The Scrum Team
The Product Owner and Scrum Master should not be part of the Development Team.,multiple-choice,TRUE,FALSE,,,,,2,"It's OK for one person to have more than one of the three Scrum roles even though it's not recommended. eg Product Owner and developer. Note: when we say that a sentence like this is false, it means that the opposite is right. However, remember that the opposite of ""should not"" is ""may"" rather than ""should"".",The Scrum Team
It's allowed to have team leaders when there are many developers working on a complex project.,multiple-choice,TRUE,FALSE,,,,,2,"No extra roles and titles are recognized in Scrum because it blocks self-organization, collaboration and accountability.",The Scrum Team
Which statement is correct when multiple Scrum teams are working on the same product?,multiple-choice,"There can be multiple Product Backlogs, when it's possible to divide the product into different application areas",There's only one Product Backlog for all of them,"There can be multiple Product Backlogs, but still a single integrated Product Backlog to summarize them all.",,,,2,"""One"" project and ""one"" product has only ""one"" Product Backlog and ""one"" Product Owner. Otherwise, prioritization and accountability would be difficult.",Scrum Theory
"No one is allowed to participate in the Daily Scrum, but the developers.",multiple-choice,TRUE,FALSE,,,,,1,"Anyone can ""attend"" the Daily Scrum but only the Development Team members are allowed to ""participate"".",Scrum Events
Which artifact contains a plan for realizing the Sprint Goal?,multiple-choice,None,Sprint Backlog,Product Backlog,Gantt Chart,Product Vision,,2,The Sprint Backlog is the set of items selected from the Product Backlog and a number of tasks required for developing them and realizing the Sprint Goal.,Scrum Events
What happens to the Product Backlog when the end users' environment and needs change in the middle of the project?,multiple-choice,"There's no effect. If the changes are extreme, the project should be cancelled and a new one started with a new Product Backlog.",It evolves to reflect the changes,"It will be archived, and a new Product Backlog would replace it","The requirement specification document should change accordingly, followed by the Product Backlog.",,,2,"The Product Backlog is a dynamic concept that is not completely composed in the beginning of the project (or any other time) and is never made static by baselining. The Product Backlog always changes to reflect the feedback from the customer, end users, market and their environment. It's fair to say that the whole framework is designed in a way that enables such a responsive Product Backlog.",Scrum Artifacts
Which item is NOT an attribute of a Product Backlog Item?,multiple-choice,Estimate,Description,Value,Owner,,,4,"Each Product Backlog Item has a description, a business value used for ordering and an estimate for the amount of effort.",Scrum Artifacts
The Scrum Master shouldn't allow the Development Team start developing without having the tasks identified and assigned.,multiple-choice,TRUE,FALSE,,,,,2,There are two problems in this statement:(a) The Scrum Master doesn't manage the team and cannot forbid team members from doing something and cannot order them to do certain things. (b) The Development Team identify the tasks and assign them gradually throughout the Sprint. We don't do it upfront in the beginning of the Sprint.,The Scrum Team
Scrum mandates the use of burn-down charts.,multiple-choice,TRUE,FALSE,,,,,2,It's common and recommended to use burn-down charts but they are not mandatory.,Scrum Artifacts
How can a Scrum Master help multiple teams keep their output aligned in a single product?,multiple-choice,Teach the Product Owner to collaborate with lead developers on aligning the effort.,Teach them that it's their responsibility to work with the other teams to create aligned outputs and an integrated Increment.,"Collect Sprint Backlog tasks of all teams, make them consistent, and return them to team to work on",Visit Daily Scrums and ensure that team activities are aligned,,,2,The answer should be compatible with the self-organization concept; the Scrum Master or the Product Owner is not supposed to do anything directly in this regard; it's on the responsibility of the Development Team(s) to find their way.,The Scrum Team
Which of the following is done in the first Sprint?,multiple-choice,Planning the project,Developing the product vision,Completing the reference architecture,Creating a shippable piece of functionality,,,4,There's no difference between the first Sprint and the next ones. The main purpose is creating Increments.,Scrum Events
"Which statement is least accurate about the definition of ""Done""?",multiple-choice,It's created by the Product Owner,"There can be more than one definition of ""Done"" when multiple teams are working on the same product.",It may be defined by the development organization,,,,1,"The definition of ""Done"" can be prepared in the development organization and used in all projects as a minimum. If additional content is required for the definition or it's not prepared in the organization level, the Development Team would be responsible for preparing it. The definition of ""Done"" can evolve during the project as more is learned. It's also dependent on the project and its environment. Multiple teams can have different definitions of ""Done"", as long as they are compatible and capable of creating an integrated Increment at the end of the Sprint.",Artifact Transparency
Which two statements are right about technical debt?,multi-select,"When measured properly, the Product Owner can estimate when the product is ready for release",The Development Team should not start working on a new item unless they remove all existing technical debt,"It creates uncertainty, because when more code is added, more problems will occur and the development slows down",It creates false assumptions about the current state of the system; e.g. it might not be really releasable.,,,"3,4","Technical debt is the consequence of poor system design and architecture which can happen when they are done gradually in an adaptive environment. The Development Team should be careful with it and repay it with continuous refactoring. Refactoring is improving the code without changing the external behavior. If the technical debt keeps increasing because the team doesn't refactor, development will become harder day after day and it will slow down the progress on one hand and create problems for releases on the other hand.",Scrum Artifacts
Hardening Sprints are helpful for defect management and integration.,multiple-choice,TRUE,FALSE,,,,,2,"There's no hardening Sprints in Scrum. All Sprints are the same and create Increments. ""Hardening"" is done during all Sprints.",Scrum Events
Developers sign up to own backlog items at the Sprint Planning.,multiple-choice,TRUE,FALSE,,,,,2,"The ownership of the items and tasks are shared. The items are not even ""assigned"" to developers because they require multiple expertise. Only the tasks are assigned and even then, their ownership is shared.",The Scrum Team
Which of the following is less likely to be used by a Scrum Team?,multiple-choice,"Large screen, planning poker cards","Wiki, online forum","WBS, Gantt Chart","Digital camera, task board",,,3,WBS and Gantt Charts are used in traditional projects because they are focused on an upfront understanding of the scope of the project. The scope of Agile projects evolve during the project.,The Scrum Team
Who can change the Sprint Backlog during the Sprint?,multiple-choice,The Development Team,No one,The Development Team and the Product Owner together,The Product Owner,,,1,"The Product Backlog items in the Sprint Backlog do not change but another element in the Sprint Backlog is the tasks and they are always changing. This is the responsibility of the Development Team to make changes in the Sprint Backlog tasks; while they may also ""consult"" the Product Owner for this.",Scrum Artifacts
Sprint Review is a formal meeting that requires sign-off by the stakeholders,multiple-choice,TRUE,FALSE,,,,,2,Sprint Review is used for informal collaboration and creating feedback. It's not a formal meeting with signed approvals and handovers.,Scrum Events
A baselined Product Backlog is called:,multiple-choice,Release plan,Product Backlog is not baselined in Scrum,Sprint Backlog,Product vision,"""Ready"" Product Backlog",,2,"""Baselining"" is a term used in traditional environments for referring to a finalized upfront plan that would be followed in the future and used for evaluating the actual performance. There's no upfront planning and no baselines in Scrum.",Scrum Artifacts
The Sprint Backlog emerges during the Sprint.,multiple-choice,TRUE,FALSE,,,,,1,"While the Product Backlog items selected for the Sprint Backlog stay the same, the tasks created by decomposing them always change and emerge during the Sprint.",Scrum Artifacts
"The Product Owner ""owns"" the Product Backlog.",multiple-choice,TRUE,FALSE,,,,,1,"The Product Owner is the sole responsible person and they even ""own"" the Product Backlog. Note: remember that the Sprint Backlog is owned by the Development Team. This is not in contrast to the fact that the Product Backlog items are estimated by the developers; they provide this information to the Product Owner to be included in the Product Backlog. There are multiple implications by saying that the Product Owner ""owns"" the Product Backlog or is the sole responsible person, including: (a) Only they can add items to the backlog or decompose them into smaller items; while this is done by input from the customers and developers, and even the Product Owner can delegate this responsibility to the developers. (b) Only they can decide on the order of the items on the Product Backlog, while this is usually based on the input from customers and developers.",The Scrum Team
The Product Owner and the Scrum Master cannot tell the Development Team how to build the product.,multiple-choice,TRUE,FALSE,,,,,1,The Development Team is self-organized and finds its own way instead of receiving orders.,The Scrum Team
Which two of the following are true about Scrum? (Choose 2 answers),multi-select,Scrum is a methodology for managing complex projects.,Scrum is like traditional processes but with Sprints and related artifacts.,Scrum is a framework for developing and maintaining complex products.,Scrum is based on empirical process control theory,,,"3,4","Scrum is a framework, not a methodology or body of knowledge. Scrum is empirical, rather than theoretical. Scrum is more about project delivery rather than project management. Scrum is adaptive, rather than predictive (it's more than just using Sprints and related artifacts). Scrum should be used in its entirety (we do not tailor it).",Scrum Theory
Only the Scrum Team is allowed to attend the Sprint Planning.,multiple-choice,TRUE,FALSE,,,,,2,"Everyone is free to ""attend"" the events as long as their participation is beneficial.",Scrum Events
A four-hour Sprint Planning is the timebox for Sprints that are ... long.,multiple-choice,Four weeks,Three weeks,One week,Two weeks,,,4,Sprint Planning is 8 hours for a one-month Sprint and usually shorter proportionally for short Sprints.,Scrum Events
Which of the following does NOT happen in the first Sprint? (Choose 2 answers),multi-select,Creating a complete Product Backlog,Creating a piece of working software,Creating a releasable Increment,Designing the complete architecture,,,"1,4","The Product Backlog is a dynamic concept that is never complete; especially, at the beginning of the project. Trying to prepare a complete Product Backlog at the beginning of the project is a form of upfront planning that doesn't suit Agile environments. The same goes for the architecture; it's not designed upfront, because we don't know exactly what we're going to develop.

All Sprints have the same purpose of bringing value to the customer by creating a potentially releasable Increment.",Scrum Events
Which of the following is a responsibility of the project manager in Scrum?,multiple-choice,There's no project manager in Scrum,Making high-level decisions,Authorizing the Sprints,Planning releases,Preparing the project plan and Gantt Charts,,1,"There are only three roles in Scrum and it's not allowed to add other roles or titles: Product Owner, Scrum Master and Development Team",The Scrum Team
Using timeboxed Sprints help limit work-in-progress.,multiple-choice,TRUE,FALSE,,,,,1,"When working inside timeboxes, it's better to limit work-in-progress and get items done before going to the next ones; otherwise, chances would be high that the team ends up with many in-progress items and not enough ""Done"" items at the end of the Sprint.
Limiting work-in-progress is a lean concept that avoids waste.",Scrum Events
Who makes sure that all developers are doing their tasks during the Sprint?,multiple-choice,The Scrum Master,The project manager,The Development Team,The Product Owner,,,3,"The developers take responsibility for doing the tasks (assignment) themselves and the Development Team ensures that all tasks are done properly. Remember that they are self-organized.

When items are ""Done"", the Product Owner checks them but this is focused on the item rather than individuals; all developers are accountable for their outputs.",The Scrum Team
Which is NOT a Development Team responsibility?,multiple-choice,Volunteering for tasks,Creating tasks,Measuring their own performance,Breaking down the items in the Product Backlog into smaller items,,,4,"This is the responsibility of the Product Owner to break down the large Product Backlog items into smaller ones. The Development Team usually ""helps"" in this but it doesn't make them responsible.",The Scrum Team
Which two statements are correct during the Sprint?,multi-select,Some Sprint Backlog items would be replaced with items from the Product Backlog if the priorities change,The scope may be clarified as more is learned,The scope may be re-negotiated as more is learned,Some Sprint Backlog items would be moved back to the Product Backlog to be completed in future Sprints,,,"2,3","During the Sprint, the Product Backlog items in the Sprint Backlog would not be added or removed but as more is learned, the scope may be clarified and re-negotiated between the Product Owner and Development Team. This is mainly focused on the interpretation of the Product Backlog items and the tasks created by decomposing them.",Scrum Events
Which of the following are optional in Scrum? (choose 2 answers),multi-select,Velocity,Having potentially releasable Increments,Release plan,Measuring Sprint performance,Product Backlog,,"1,3","Having a release plan is usually required but it's not part of the framework and is not mandatory.
Velocity calculation is also helpful and recommended but is not part of the framework.
The rest are Scrum artifacts. All Scrum roles, events and artifacts are mandatory.",Scrum Theory
Which of the following is a right action from the Scrum Master in response to a Product Owner who has problems managing the Product Backlog?,multiple-choice,Ask the Development Team to help the Product Owner understand the dependencies among items to be used in ordering them,Help the Product Owner order the items,Extend the Sprint so that the Product Owner has more time ordering items,Ask the customer to order the items instead of the Product Owner,,,2,"The Scrum Master is supposed to know the tools and techniques and to help everyone in that regard. However, it's only about helping, training, coaching and consulting rather than taking over.",The Scrum Team
The Product Owner ensures enough items are selected from the Product Backlog in the Sprint Planning meeting to satisfy the stakeholders.,multiple-choice,TRUE,FALSE,,,,,2,It's only up to the developers to decide how many items they will select from the top of the Product Backlog. The Product Owner only orders the items.,Scrum Events
Which statement is correct when the developers are working in the middle of the Sprint?,multiple-choice,The Sprint Backlog would be frozen,No user acceptance tests will be conducted until the end of the Sprint,The scope may be clarified as more is learned,,,,3,"During the Sprint, the Product Backlog items in the Sprint Backlog would not be added or removed but as more is learned, the scope may be clarified and re-negotiated between the Product Owner and Development Team. This is mainly focused on the interpretation of the Product Backlog items and the tasks created by decomposing them.",The Scrum Team
The Sprint Review is the only time when stakeholder feedback is captured.,multiple-choice,TRUE,FALSE,,,,,2,The Sprint Review is probably the most important opportunity for capturing feedback but adaptation is not limited to that. The Product Owner is constantly in contact with the stakeholders to identify new Product Backlog items or to refine them.,Scrum Events
Who updates work remaining during the Sprint?,multiple-choice,The Development Team,The Scrum Team,The Scrum Master,The Product Owner,,,1,he Product Owner is responsible for measuring the progress of the project and tracking the remaining work in the Product Backlog. The Development Team is responsible for measuring the progress of the Sprint and tracking the remaining work in the Sprint Backlog.,Scrum Artifacts
It's required to use user stories in Scrum.,multiple-choice,TRUE,FALSE,,,,,2,It's a good idea to use user stories for describing the Product Backlog items but it's not required.,Scrum Artifacts
